Account_ID,Customer_ID,Account_Type,Open_Date,Balance,Status,Branch_ID
A000062,C04162,Fixed Deposit,2024-04-06,23441.01,Active,B050
A000063,C11199,Savings,2024-06-29,31056.42,Active,B056
A000064,C01006,Current,2022-01-14,13789.81,Active,B060
A000065,C05019,Savings,2023-11-06,36442.6,Active,B036
A000066,C13447,Savings,2025-09-17,29039.4,Active,B002
A000067,C00264,Savings,2022-12-05,48267.79,Active,B027
A000068,C06793,Savings,2023-07-05,27249.01,Closed,B030
A000069,C01238,Savings,2022-01-14,38601.17,Active,B058
A000070,C08850,Savings,2023-01-22,36936.18,Active,B054
A000071,C02791,Savings,2023-11-04,170443.54,Dormant,B059
A000072,C04060,Savings,2023-10-18,9694.29,Active,B017
A000073,C05926,Savings,2025-10-13,8727.45,Active,B041
A000074,C07038,Savings,2022-05-07,24938.61,Active,B039
A000075,C08646,Current,2022-04-04,13983.62,Active,B058
A000076,C14559,Savings,2024-02-05,30677.05,Closed,B010
A000077,C03579,Current,2025-05-31,15461.89,Active,B003
A000078,C06415,Savings,2024-09-15,3714.47,Active,B025
A000079,C07357,Savings,2022-02-12,42668.03,Active,B022
A000080,C00245,Savings,2024-04-16,69184.75,Active,B047
A000081,C01657,Savings,2022-12-24,7872.14,Closed,B059
A000082,C11972,Recurring Deposit,2025-03-22,18595.0,Active,B003
A000083,C05253,Savings,2024-01-30,51437.25,Dormant,B010
A000084,C14167,Savings,2023-06-06,14615.32,Active,B059
A000085,C14029,Recurring Deposit,2025-02-15,19000.84,Active,B056
A000086,C10045,Fixed Deposit,2022-08-20,14174.99,Active,B029
A000087,C07789,Current,2022-11-08,32147.31,Active,B042
A000088,C06939,Savings,2022-11-25,16935.93,Closed,B031
A000089,C10797,Current,2022-05-05,35096.18,Closed,B054
A000090,C08634,Fixed Deposit,2023-06-11,17628.84,Dormant,B006
A000091,C03679,Fixed Deposit,2024-01-25,18616.72,Active,B048
A000092,C09720,Fixed Deposit,2022-08-03,92427.62,Active,B011
A000093,C09235,Savings,2024-02-05,18146.81,Active,B024
A000094,C05278,Savings,2022-06-14,15134.73,Active,B041
A000095,C12151,Savings,2022-08-04,19517.79,Active,B012
A000096,C10175,Savings,2023-07-16,37603.88,Active,B052
A000097,C06878,Savings,2025-03-19,27354.46,Active,B037
A000098,C07301,Recurring Deposit,2023-06-27,10007.44,Active,B023
A000099,C09332,Savings,2024-09-20,86703.95,Active,B019
A000100,C02878,Fixed Deposit,2024-05-13,5208.63,Active,B037
A000101,C06090,Savings,2023-11-09,3948.99,Active,B014
A000102,C10106,Savings,2022-10-13,17656.23,Active,B028
A000103,C06953,Recurring Deposit,2023-02-23,16965.04,Active,B020
A000104,C05622,Savings,2023-06-03,13151.28,Active,B036
A000105,C08897,Savings,2025-03-29,12829.45,Closed,B020
A000106,C13301,Fixed Deposit,2024-01-29,11532.31,Active,B030
A000107,C09807,Savings,2024-03-04,9224.12,Active,B009
A000108,C03669,Current,2025-12-13,26666.09,Active,B046
A000109,C13398,Savings,2023-09-02,13790.76,Active,B038
A000110,C04576,Savings,2022-04-15,35047.99,Dormant,B048
A000111,C04250,Savings,2023-05-01,31470.36,Active,B023
A000112,C07757,Current,2022-09-12,138567.14,Active,B003
A000113,C04549,Savings,2023-06-21,11930.75,Closed,B041
A000114,C06606,Fixed Deposit,2024-05-12,11403.76,Active,B056
A000115,C06454,Savings,2025-02-25,12364.43,Closed,B010
A000116,C14519,Savings,2023-10-09,18290.49,Active,B050
A000117,C08772,Current,2024-05-02,7344.74,Active,B031
A000118,C13289,Savings,2024-01-17,35233.44,Active,B027
A000119,C03304,Savings,2024-12-23,5776.11,Dormant,B022
A000120,C12936,Savings,2025-08-08,19783.71,Active,B028
A000121,C01161,Current,2023-07-23,14687.23,Dormant,B002
A000122,C14943,Savings,2022-07-25,2766.19,Active,B008
A000123,C06531,Savings,2023-06-28,38928.17,Active,B026
A000124,C02587,Fixed Deposit,2023-09-03,19051.39,Closed,B054
A000125,C07817,Savings,2025-06-29,10987.98,Active,B044
A000126,C11229,Fixed Deposit,2024-09-18,11518.47,Active,B013
A000127,C06626,Fixed Deposit,2025-12-23,36612.01,Dormant,B037
A000128,C08861,Fixed Deposit,2023-09-15,5769.05,Active,B032
A000129,C02159,Current,2025-11-14,10218.85,Active,B045
A000130,C04938,Savings,2022-05-01,5647.92,Active,B004
A000131,C01869,Current,2022-06-28,17525.55,Active,B001
A000132,C05185,Fixed Deposit,2023-04-04,94675.38,Dormant,B045
A000133,C01704,Savings,2023-09-03,7437.12,Active,B044
A000134,C14414,Fixed Deposit,2023-01-21,27871.89,Active,B054
A000135,C00736,Savings,2025-06-15,18612.72,Dormant,B005
A000136,C05584,Savings,2022-01-06,32400.13,Active,B022
A000137,C03896,Current,2024-12-28,8941.92,Active,B054
A000138,C08218,Fixed Deposit,2022-07-29,59216.76,Active,B053
A000139,C10871,Fixed Deposit,2024-02-22,5685.18,Active,B043
A000140,C08225,Savings,2025-10-26,15893.77,Active,B003
A000141,C10079,Recurring Deposit,2022-04-10,160431.0,Active,B058
A000142,C14024,Recurring Deposit,2025-08-13,44507.34,Active,B057
A000143,C04988,Current,2025-03-14,12984.84,Active,B055
A000144,C11929,Savings,2024-11-26,8382.78,Active,B042
A000145,C05473,Savings,2024-03-21,24422.23,Active,B022
A000146,C09950,Savings,2023-05-24,17636.87,Active,B040
A000147,C08065,Savings,2023-02-10,4060.52,Active,B032
A000148,C08192,Current,2022-08-07,9421.5,Active,B019
A000149,C01793,Savings,2024-10-04,121748.87,Closed,B018
A000150,C14619,Savings,2022-08-26,28400.4,Active,B043
A000151,C03908,Recurring Deposit,2024-07-31,1463.04,Active,B035
A000152,C11045,Savings,2023-11-09,14964.34,Active,B045
A000153,C10520,Savings,2024-09-14,53228.05,Active,B058
A000154,C06444,Recurring Deposit,2022-04-21,146760.03,Active,B017
A000155,C10840,Fixed Deposit,2025-05-27,9593.74,Active,B013
A000156,C13062,Current,2024-01-01,3583.82,Active,B053
A000157,C07105,Savings,2022-02-23,11072.08,Active,B027
A000158,C00605,Fixed Deposit,2024-07-31,2909.12,Active,B032
A000159,C01997,Fixed Deposit,2022-01-28,18712.31,Active,B038
A000160,C11612,Savings,2024-08-18,53621.0,Active,B016
A000161,C12559,Fixed Deposit,2025-02-17,36869.08,Active,B052
A000162,C11551,Savings,2025-04-12,14229.06,Active,B031
A000163,C03020,Fixed Deposit,2022-02-11,30270.8,Active,B046
A000164,C01681,Fixed Deposit,2025-01-11,3277.46,Active,B059
A000165,C03405,Savings,2022-07-17,35294.48,Active,B048
A000166,C03893,Savings,2022-10-17,17827.32,Active,B040
A000167,C05417,Current,2022-07-17,60343.37,Active,B041
A000168,C07085,Savings,2022-11-10,7501.64,Active,B014
A000169,C13905,Fixed Deposit,2025-02-14,36225.88,Active,B032
A000170,C03226,Savings,2025-06-20,70372.05,Active,B060
A000171,C14643,Current,2025-11-01,45761.25,Active,B036
A000172,C05468,Fixed Deposit,2022-12-29,13362.77,Active,B024
A000173,C07602,Savings,2022-09-22,26940.59,Active,B004
A000174,C08106,Savings,2024-04-26,12376.08,Active,B047
A000175,C12842,Savings,2022-01-18,17856.52,Active,B048
A000176,C10144,Savings,2024-12-20,19737.59,Active,B001
A000177,C03029,Fixed Deposit,2024-02-17,56499.46,Active,B006
A000178,C06511,Current,2025-05-16,15273.75,Active,B060
A000179,C02057,Current,2024-10-05,2840.5,Active,B037
A000180,C13413,Savings,2024-12-28,51919.5,Active,B001
A000181,C00627,Current,2024-12-10,8650.32,Active,B014
A000182,C04741,Fixed Deposit,2022-02-11,15446.2,Active,B005
A000183,C10662,Savings,2024-05-07,4977.08,Active,B048
A000184,C04422,Savings,2023-03-06,19080.83,Active,B039
A000185,C01615,Recurring Deposit,2025-08-24,42992.22,Dormant,B012
A000186,C04818,Savings,2024-03-19,32591.72,Closed,B039
A000187,C04165,Fixed Deposit,2023-11-13,2910.73,Dormant,B044
A000188,C05545,Savings,2022-03-09,13290.68,Closed,B056
A000189,C02122,Savings,2023-08-18,87953.07,Active,B057
A000190,C01643,Savings,2025-11-03,34817.71,Active,B003
A000191,C09680,Savings,2025-12-19,35569.96,Active,B035
A000192,C03611,Current,2025-02-23,9685.94,Active,B010
A000193,C00881,Savings,2023-07-28,10076.26,Active,B036
A000194,C04776,Savings,2023-07-19,124515.04,Active,B037
A000195,C12085,Savings,2025-10-04,20886.29,Active,B017
A000196,C07703,Fixed Deposit,2022-08-19,9454.52,Active,B022
A000197,C06987,Savings,2025-06-13,70565.43,Active,B049
A000198,C05375,Savings,2022-12-23,63058.0,Active,B060
A000199,C09860,Savings,2024-12-25,19033.72,Active,B020
A000200,C01092,Savings,2024-11-12,15155.79,Active,B049
A000201,C03152,Fixed Deposit,2025-07-12,64204.7,Active,B034
A000202,C07672,Savings,2023-07-24,4280.37,Active,B002
A000203,C11548,Savings,2023-11-21,12901.61,Active,B056
A000204,C08477,Fixed Deposit,2022-05-22,44114.97,Active,B030
A000205,C09209,Savings,2025-09-26,67129.97,Active,B006
A000206,C11501,Fixed Deposit,2024-11-07,25736.01,Active,B054
A000207,C04410,Fixed Deposit,2023-09-28,61713.92,Active,B011
A000208,C09361,Fixed Deposit,2024-02-09,14932.44,Active,B026
A000209,C09414,Savings,2022-01-19,59221.82,Active,B019
A000210,C00749,Savings,2022-02-03,15933.22,Active,B056
A000211,C07954,Savings,2025-03-20,12939.84,Active,B011
A000212,C01165,Current,2023-10-23,26945.72,Active,B014
A000213,C04094,Recurring Deposit,2022-06-13,52219.05,Active,B039
A000214,C03818,Current,2023-09-17,13836.28,Active,B012
A000215,C01728,Recurring Deposit,2023-07-28,9922.2,Active,B014
A000216,C01468,Current,2025-01-19,40093.9,Active,B021
A000217,C00701,Recurring Deposit,2023-01-06,28573.24,Active,B058
A000218,C11171,Fixed Deposit,2022-02-26,9792.44,Active,B030
A000219,C04313,Savings,2023-11-14,23415.85,Active,B053
A000220,C04919,Current,2025-04-18,35983.19,Active,B022
A000221,C08611,Savings,2025-03-10,16700.82,Active,B044
A000222,C04428,Savings,2023-03-28,34017.91,Active,B033
A000223,C14197,Savings,2023-11-28,10709.3,Active,B055
A000224,C09126,Fixed Deposit,2023-02-26,35264.73,Active,B031
A000225,C13856,Fixed Deposit,2023-08-20,14453.43,Active,B044
A000226,C07246,Fixed Deposit,2022-11-06,9302.48,Active,B001
A000227,C13465,Fixed Deposit,2023-04-11,6450.31,Active,B018
A000228,C02273,Savings,2025-01-08,16458.54,Active,B012
A000229,C11120,Fixed Deposit,2025-02-21,35822.45,Active,B014
A000230,C04476,Savings,2025-11-28,21392.73,Active,B022
A000231,C07650,Fixed Deposit,2025-01-08,23476.7,Active,B017
A000232,C14059,Savings,2023-08-03,30853.66,Active,B013
A000233,C05351,Savings,2024-07-14,17119.82,Dormant,B001
A000234,C04411,Fixed Deposit,2024-09-22,131815.42,Active,B021
A000235,C13156,Savings,2023-12-26,28868.97,Active,B041
A000236,C12486,Recurring Deposit,2025-04-04,16109.15,Active,B036
A000237,C01465,Savings,2024-01-14,29448.62,Active,B060
A000238,C11561,Savings,2025-11-08,24840.5,Active,B060
A000239,C00644,Current,2025-08-16,19777.9,Active,B023
A000240,C02183,Fixed Deposit,2023-10-23,82449.23,Active,B009
A000241,C07139,Savings,2022-06-05,45521.9,Active,B031
A000242,C06419,Savings,2022-07-19,10349.17,Active,B044
A000243,C12063,Fixed Deposit,2023-07-28,29265.82,Active,B051
A000244,C01940,Savings,2025-04-15,44741.62,Active,B011
A000245,C09365,Savings,2023-12-01,28000.87,Active,B023
A000246,C12029,Savings,2024-11-25,25319.99,Active,B017
A000247,C13081,Fixed Deposit,2024-08-23,9394.28,Dormant,B027
A000248,C06796,Savings,2023-01-30,11038.64,Active,B043
A000249,C00866,Savings,2023-10-06,120214.96,Active,B012
A000250,C08081,Savings,2022-12-02,18604.98,Closed,B007
A000251,C05739,Savings,2022-07-09,13663.31,Active,B029
A000252,C13792,Savings,2024-05-03,20762.59,Active,B046
A000253,C11265,Fixed Deposit,2025-01-04,1266.64,Closed,B034
A000254,C03535,Savings,2022-10-26,6910.88,Active,B047
A000255,C13505,Current,2022-06-16,16198.76,Dormant,B026
A000256,C01049,Savings,2024-07-14,9990.27,Active,B047
A000257,C04295,Current,2022-05-18,10828.84,Active,B051
A000258,C01324,Savings,2024-06-20,8857.8,Active,B029
A000259,C06598,Savings,2025-06-05,4195.55,Active,B034
A000260,C10982,Savings,2022-05-10,1451.23,Active,B024
A000261,C02916,Recurring Deposit,2024-05-04,64756.03,Active,B020
A000262,C13569,Current,2024-02-23,17248.59,Active,B003
A000263,C06351,Savings,2022-05-21,35040.18,Active,B044
A000264,C14157,Fixed Deposit,2023-08-14,35221.86,Active,B056
A000265,C03861,Savings,2022-02-03,112358.48,Active,B056
A000266,C08269,Savings,2025-02-28,39428.25,Closed,B018
A000267,C00680,Savings,2023-05-26,22194.0,Active,B001
A000268,C06033,Savings,2025-10-01,9336.44,Active,B053
A000269,C07313,Savings,2025-07-02,29383.35,Active,B060
A000270,C14668,Fixed Deposit,2022-06-24,5830.87,Active,B004
A000271,C08866,Fixed Deposit,2023-04-02,18318.82,Active,B004
A000272,C13607,Recurring Deposit,2024-01-20,30601.67,Active,B034
A000273,C03176,Savings,2025-07-24,20157.8,Dormant,B025
A000274,C00587,Savings,2022-10-06,11676.86,Active,B034
A000275,C09295,Recurring Deposit,2024-12-25,18230.22,Active,B027
A000276,C01111,Savings,2022-04-04,10432.22,Active,B046
A000277,C09348,Savings,2022-02-12,15791.7,Active,B029
A000278,C11681,Current,2022-05-14,8288.16,Dormant,B022
A000279,C05785,Fixed Deposit,2024-02-20,30762.95,Active,B057
A000280,C09581,Savings,2025-09-26,22149.46,Active,B023
A000281,C14889,Savings,2022-10-13,23893.55,Active,B054
A000282,C09942,Savings,2025-09-26,11172.66,Active,B024
A000283,C11680,Fixed Deposit,2025-09-07,39548.39,Active,B032
A000284,C03841,Savings,2023-10-03,21494.83,Dormant,B028
A000285,C04312,Savings,2023-11-14,7401.39,Dormant,B011
A000286,C13877,Savings,2023-03-08,59313.72,Active,B059
A000287,C08071,Savings,2023-05-24,17552.23,Active,B054
A000288,C13611,Fixed Deposit,2023-04-19,61446.92,Active,B020
A000289,C01401,Fixed Deposit,2022-07-23,43487.98,Active,B002
A000290,C02725,Savings,2025-01-09,8880.62,Active,B022
A000291,C06854,Fixed Deposit,2025-05-15,70246.64,Active,B040
A000292,C14453,Savings,2023-04-06,8792.83,Active,B023
A000293,C02210,Savings,2025-04-03,44656.25,Active,B009
A000294,C09663,Savings,2025-08-16,9041.72,Active,B022
A000295,C03521,Savings,2024-01-31,4943.53,Active,B003
A000296,C13799,Savings,2025-10-29,7984.51,Active,B060
A000297,C14067,Savings,2024-05-10,8874.5,Active,B054
A000298,C13000,Savings,2023-09-11,14464.36,Active,B023
A000299,C12067,Savings,2023-10-14,19375.26,Dormant,B005
A000300,C13004,Current,2023-11-03,9635.72,Active,B023
A000301,C02094,Savings,2024-01-25,61714.34,Closed,B052
A000302,C00280,Fixed Deposit,2022-10-17,10034.84,Active,B022
A000303,C12161,Recurring Deposit,2025-12-05,18892.16,Active,B057
A000304,C04941,Savings,2023-01-20,55051.75,Active,B018
A000305,C02789,Savings,2023-03-12,23102.93,Active,B028
A000306,C04815,Fixed Deposit,2025-08-02,8811.97,Active,B042
A000307,C10658,Fixed Deposit,2022-03-31,16894.23,Active,B033
A000308,C07461,Savings,2024-12-02,17656.83,Active,B010
A000309,C12045,Savings,2024-10-29,8321.63,Dormant,B056
A000310,C09360,Fixed Deposit,2025-11-25,31472.79,Active,B037
A000311,C14628,Savings,2025-11-10,23260.98,Active,B029
A000312,C02758,Savings,2025-08-16,140314.0,Active,B049
A000313,C14965,Current,2024-04-12,3700.05,Dormant,B018
A000314,C05362,Savings,2022-07-04,6860.06,Active,B007
A000315,C08930,Savings,2022-01-03,25866.44,Active,B007
A000316,C12364,Savings,2023-07-18,34318.44,Active,B038
A000317,C03382,Fixed Deposit,2023-07-25,14698.31,Active,B057
A000318,C06771,Savings,2023-01-02,19109.12,Active,B001
A000319,C03750,Savings,2023-06-23,152388.76,Closed,B002
A000320,C10671,Savings,2025-01-24,18456.73,Closed,B041
A000321,C06065,Savings,2022-08-06,20278.74,Active,B017
A000322,C06308,Savings,2025-02-26,10491.3,Active,B051
A000323,C03904,Savings,2022-05-10,7754.02,Active,B024
A000324,C01983,Savings,2022-05-31,17877.33,Active,B057
A000325,C05995,Savings,2024-10-02,3307.16,Active,B051
A000326,C04120,Fixed Deposit,2023-02-28,18219.32,Active,B044
A000327,C02628,Recurring Deposit,2022-03-13,15638.06,Active,B042
A000328,C10585,Recurring Deposit,2024-11-21,1668.63,Active,B037
A000329,C05107,Savings,2022-10-24,7825.82,Active,B001
A000330,C02793,Current,2023-07-15,24530.3,Closed,B058
A000331,C07435,Savings,2023-10-17,63062.43,Active,B029
A000332,C00302,Savings,2022-03-23,8689.93,Active,B044
A000333,C09731,Savings,2024-06-29,167691.97,Active,B008
A000334,C06535,Savings,2025-07-25,17913.13,Active,B012
A000335,C05240,Savings,2024-02-17,65391.96,Active,B056
A000336,C07179,Savings,2023-09-12,2148.27,Active,B048
A000337,C08769,Savings,2025-11-24,15911.4,Active,B019
A000338,C03881,Savings,2022-02-21,17489.43,Active,B051
A000339,C04023,Fixed Deposit,2024-05-09,47029.4,Active,B053
A000340,C02665,Fixed Deposit,2022-10-10,22107.74,Active,B014
A000341,C04283,Savings,2023-07-14,82215.37,Active,B028
A000342,C14577,Current,2022-07-08,20833.36,Active,B020
A000343,C07962,Fixed Deposit,2022-03-02,30133.51,Dormant,B026
A000344,C04150,Fixed Deposit,2025-06-08,3089.31,Dormant,B008
A000345,C12942,Savings,2024-09-06,36170.59,Active,B054
A000346,C02223,Savings,2023-04-30,21030.1,Active,B041
A000347,C04714,Current,2024-12-28,14774.72,Active,B020
A000348,C06544,Savings,2022-05-13,33259.93,Active,B030
A000349,C03828,Fixed Deposit,2024-08-26,13644.02,Active,B007
A000350,C08413,Savings,2025-03-08,6895.63,Active,B036
A000351,C07739,Fixed Deposit,2025-07-24,147983.31,Active,B009
A000352,C03744,Savings,2024-11-28,62339.14,Active,B037
A000353,C14090,Savings,2023-02-17,12435.03,Active,B058
A000354,C12765,Savings,2024-04-29,9731.99,Dormant,B003
A000355,C01919,Fixed Deposit,2022-11-27,14669.23,Active,B047
A000356,C10086,Savings,2025-01-02,113864.4,Dormant,B052
A000357,C12087,Recurring Deposit,2024-03-24,11611.42,Active,B049
A000358,C02547,Savings,2025-01-23,3166.2,Dormant,B014
A000359,C07769,Current,2025-02-22,13871.57,Active,B002
A000360,C01555,Fixed Deposit,2022-02-09,12255.62,Active,B005
A000361,C12327,Savings,2025-11-29,11544.75,Active,B033
A000362,C09353,Savings,2022-02-07,28274.41,Active,B023
A000363,C00401,Recurring Deposit,2022-03-07,6628.6,Active,B050
A000364,C10075,Current,2024-11-02,40233.71,Closed,B054
A000365,C10482,Recurring Deposit,2024-01-30,5707.96,Active,B012
A000366,C01928,Savings,2022-03-26,15481.87,Active,B026
A000367,C14679,Savings,2022-05-29,13039.78,Active,B001
A000368,C00439,Savings,2023-12-08,8343.37,Active,B008
A000369,C05111,Fixed Deposit,2022-04-07,14261.63,Active,B028
A000370,C10573,Savings,2023-09-29,6127.47,Active,B015
A000371,C00937,Savings,2025-01-14,11803.54,Dormant,B001
A000372,C11400,Savings,2024-02-18,2260.64,Active,B002
A000373,C09357,Savings,2023-12-23,38266.32,Active,B055
A000374,C04301,Recurring Deposit,2025-02-15,38508.14,Active,B013
A000375,C10551,Savings,2024-09-26,7262.42,Active,B028
A000376,C09937,Savings,2023-11-09,5961.52,Active,B018
A000377,C09108,Fixed Deposit,2023-02-17,5381.75,Dormant,B038
A000378,C05957,Fixed Deposit,2023-04-03,891.54,Active,B007
A000379,C14745,Savings,2022-01-23,22441.49,Closed,B017
A000380,C14096,Current,2025-07-17,56807.35,Active,B053
A000381,C09472,Recurring Deposit,2022-02-15,28044.5,Active,B054
A000382,C02603,Fixed Deposit,2024-07-06,77830.18,Active,B037
A000383,C09724,Recurring Deposit,2023-04-30,12770.79,Active,B045
A000384,C07506,Savings,2022-10-04,66673.37,Active,B002
A000385,C05691,Savings,2025-01-24,2804.88,Active,B056
A000386,C12873,Savings,2025-01-07,82866.52,Active,B018
A000387,C10915,Fixed Deposit,2023-04-29,15353.56,Active,B010
A000388,C03978,Savings,2023-02-10,11533.96,Active,B045
A000389,C14691,Savings,2024-06-15,21610.81,Active,B042
A000390,C02046,Fixed Deposit,2025-12-20,43701.06,Active,B056
A000391,C10213,Current,2024-06-20,45723.9,Active,B027
A000392,C01141,Savings,2023-05-22,4263.73,Active,B026
A000393,C06291,Savings,2022-12-06,9192.83,Active,B049
A000394,C11021,Savings,2025-06-30,7662.72,Active,B025
A000395,C12772,Savings,2025-10-23,6811.41,Active,B060
A000396,C09945,Savings,2022-12-27,31396.2,Active,B033
A000397,C01605,Current,2022-09-18,40216.94,Active,B005
A000398,C13905,Savings,2023-08-20,28369.6,Active,B052
A000399,C09890,Current,2024-11-10,17407.51,Closed,B032
A000400,C13181,Savings,2024-02-16,17335.48,Active,B039
A000401,C13227,Fixed Deposit,2025-12-18,10380.18,Active,B036
A000402,C05847,Savings,2024-06-02,14972.68,Active,B056
A000403,C05630,Savings,2024-02-18,83673.04,Dormant,B010
A000404,C09539,Fixed Deposit,2025-08-03,25731.36,Dormant,B057
A000405,C02826,Current,2022-10-24,43236.71,Active,B023
A000406,C12448,Savings,2025-05-16,8459.83,Active,B021
A000407,C01914,Fixed Deposit,2025-07-19,19025.61,Active,B007
A000408,C08446,Savings,2023-10-22,2238.28,Active,B030
A000409,C04321,Savings,2025-01-20,44084.36,Closed,B020
A000410,C04423,Savings,2025-05-10,13613.57,Active,B011
A000411,C08845,Savings,2022-09-05,18157.76,Dormant,B018
A000412,C01446,Recurring Deposit,2022-12-12,4970.42,Active,B019
A000413,C10507,Savings,2022-07-09,19465.53,Active,B047
A000414,C04989,Savings,2025-10-07,88475.52,Active,B022
A000415,C11279,Savings,2022-06-12,19194.24,Active,B044
A000416,C07127,Current,2022-07-18,83335.23,Active,B054
A000417,C14675,Fixed Deposit,2025-01-19,9467.56,Active,B008
A000418,C13064,Savings,2024-09-03,50991.82,Active,B021
A000419,C02097,Current,2022-12-07,1865.2,Active,B043
A000420,C04568,Savings,2023-11-11,9188.59,Dormant,B050
A000421,C04162,Savings,2025-09-14,6544.92,Active,B020
A000422,C11878,Current,2025-10-04,53238.31,Active,B012
A000423,C05022,Savings,2024-05-09,28407.49,Dormant,B052
A000424,C13228,Savings,2025-01-10,15724.16,Active,B007
A000425,C04022,Fixed Deposit,2024-12-19,13817.67,Active,B030
A000426,C14177,Fixed Deposit,2025-12-08,20470.82,Active,B056
A000427,C06995,Savings,2023-10-10,9541.76,Active,B025
A000428,C06559,Savings,2024-02-19,4895.69,Active,B032
A000429,C01816,Fixed Deposit,2023-12-17,37746.42,Active,B029
A000430,C03926,Recurring Deposit,2025-11-30,21517.58,Dormant,B052
A000431,C10151,Recurring Deposit,2025-05-12,13431.21,Closed,B018
A000432,C04701,Savings,2025-11-22,50977.4,Active,B024
A000433,C13858,Savings,2023-06-30,107448.15,Active,B022
A000434,C12349,Savings,2024-01-25,23889.2,Active,B022
A000435,C07285,Savings,2024-10-07,17160.48,Active,B027
A000436,C12548,Current,2025-06-04,11223.53,Closed,B049
A000437,C03506,Fixed Deposit,2023-05-17,26120.43,Active,B022
A000438,C02926,Fixed Deposit,2022-09-04,20443.54,Active,B017
A000439,C03509,Savings,2024-12-30,12193.04,Active,B012
