Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Start_Date,Tenure_Months,Outstanding_Amount,Status,Credit_Risk
L000081,C04677,Home,263600.0,6.61,2023-07-05,84,108127.45,Overdue,Low
L000082,C01905,Education,164700.0,10.87,2025-10-12,12,29305.71,Active,Medium
L000083,C04115,Personal,197000.0,12.61,2024-02-17,60,109867.3,Closed,Low
L000084,C09815,Auto,152600.0,15.88,2023-10-23,24,68258.21,Active,Low
L000085,C13431,Personal,50000.0,16.48,2022-05-24,48,9589.16,Active,Medium
L000086,C02828,Business,50000.0,15.61,2024-06-27,60,6704.41,Active,Medium
L000087,C07349,Personal,90600.0,16.03,2024-04-19,180,22364.52,Active,Low
L000088,C04513,Education,291700.0,11.58,2023-11-26,12,162393.69,Closed,Low
L000089,C14898,Business,310000.0,9.45,2022-04-30,180,92723.36,Active,Low
L000090,C02551,Business,464000.0,9.53,2023-10-04,84,395212.35,Closed,Low
L000091,C01949,Home,102100.0,11.25,2024-01-05,48,16441.57,Active,Low
L000092,C08024,Education,53300.0,12.07,2025-02-03,36,43921.46,Active,Low
L000093,C08650,Personal,251800.0,10.98,2023-10-01,120,26927.48,Active,Medium
L000094,C11318,Home,146900.0,7.91,2023-04-03,12,22655.63,Closed,Low
L000095,C11468,Personal,527500.0,10.8,2022-12-16,84,166834.0,Closed,Medium
L000096,C10648,Home,231400.0,12.46,2022-11-17,240,83431.99,Active,Low
L000097,C04160,Auto,673700.0,13.66,2024-05-18,60,284519.4,Active,Low
L000098,C03765,Personal,114700.0,8.32,2022-04-09,12,77644.13,Active,Low
L000099,C04126,Personal,151300.0,7.95,2022-03-31,36,94153.39,Active,Low
L000100,C02173,Home,65200.0,8.9,2022-05-23,120,46717.64,Active,Medium
L000101,C03198,Auto,189200.0,8.73,2022-06-28,120,66491.4,Closed,High
L000102,C10366,Personal,214700.0,13.01,2022-11-27,180,138543.0,Active,High
L000103,C08693,Personal,450600.0,15.94,2025-08-15,120,406094.66,Active,Medium
L000104,C03633,Home,158200.0,9.32,2025-06-26,84,90262.98,Active,Low
L000105,C05224,Personal,85800.0,15.44,2025-08-26,48,46265.27,Active,High
L000106,C14213,Personal,72400.0,14.76,2025-10-21,24,58900.29,Active,High
L000107,C02389,Personal,276000.0,11.14,2024-06-29,12,14332.16,Active,Medium
L000108,C11111,Auto,51100.0,10.58,2025-06-21,36,40081.44,Active,Medium
L000109,C09107,Personal,426500.0,6.91,2024-01-04,84,249316.11,Overdue,Medium
L000110,C01852,Auto,440900.0,13.69,2025-08-04,84,59048.86,Active,High
L000111,C07052,Education,98200.0,13.12,2025-01-21,36,79123.03,Active,Low
L000112,C01518,Education,131200.0,10.45,2023-01-23,240,34780.69,Active,Low
L000113,C12351,Education,430800.0,16.31,2024-11-25,180,400503.77,Closed,Medium
L000114,C01561,Auto,67000.0,10.15,2025-05-11,240,49495.09,Active,Low
L000115,C05873,Home,249500.0,14.79,2025-03-05,120,117272.81,Active,Medium
L000116,C01582,Personal,260000.0,11.09,2025-09-15,120,205821.32,Active,Low
L000117,C14944,Home,215400.0,14.59,2024-09-30,84,34955.52,Active,Low
L000118,C02668,Personal,322000.0,7.02,2022-06-29,120,144303.66,Defaulted,Low
L000119,C01949,Business,106800.0,9.24,2023-06-29,120,76565.05,Active,Medium
L000120,C14449,Education,171400.0,7.12,2023-03-04,24,90446.81,Active,Medium
L000121,C14756,Home,328400.0,14.91,2023-11-03,36,145969.38,Active,Medium
L000122,C14857,Auto,401900.0,12.68,2025-06-13,36,128784.37,Active,Low
L000123,C10457,Education,399200.0,16.21,2024-04-18,120,71855.07,Closed,Low
L000124,C12705,Home,313300.0,14.89,2024-09-14,180,230960.23,Closed,Low
L000125,C10212,Personal,93800.0,13.88,2022-12-22,84,86742.68,Closed,Low
L000126,C08053,Home,345400.0,8.9,2024-12-28,12,111809.56,Active,Low
L000127,C03438,Auto,50000.0,7.05,2024-06-03,36,36643.94,Active,Low
L000128,C04225,Business,79800.0,8.6,2023-11-22,48,10358.25,Defaulted,Low
L000129,C09629,Business,77000.0,9.19,2022-07-30,24,17438.31,Active,Low
L000130,C07947,Business,184100.0,11.51,2025-05-31,120,138170.81,Active,Low
L000131,C03858,Business,335000.0,8.14,2022-09-06,24,237771.37,Overdue,Low
L000132,C12569,Auto,98100.0,13.32,2025-01-28,84,66665.18,Active,Low
L000133,C00111,Auto,424000.0,15.39,2024-01-23,36,280185.2,Active,Low
L000134,C06088,Home,86800.0,9.37,2025-07-05,24,45193.67,Overdue,Medium
L000135,C13462,Auto,74000.0,7.32,2023-06-02,60,25187.39,Closed,Medium
L000136,C04525,Personal,339100.0,14.35,2024-07-24,36,292801.94,Defaulted,Medium
L000137,C13241,Education,230800.0,12.68,2024-08-21,24,90030.09,Overdue,Medium
L000138,C08095,Auto,73700.0,8.32,2025-11-20,48,38929.37,Active,Medium
L000139,C08742,Business,176200.0,14.55,2024-05-28,84,152565.05,Active,Medium
L000140,C13066,Education,160600.0,15.28,2022-07-07,180,119705.14,Active,Low
L000141,C12889,Personal,185200.0,13.27,2025-05-17,180,66516.12,Overdue,Medium
L000142,C06171,Auto,96700.0,12.19,2022-03-10,60,76992.59,Closed,Medium
L000143,C12890,Business,161900.0,9.2,2022-09-10,60,98355.47,Active,Low
L000144,C12528,Auto,146800.0,15.74,2023-05-06,180,100415.58,Closed,Low
L000145,C12005,Auto,181200.0,12.39,2025-07-03,120,162982.37,Active,Medium
L000146,C06994,Personal,60500.0,11.1,2023-02-21,240,22834.16,Active,Medium
L000147,C05591,Home,415200.0,9.05,2025-04-19,180,187596.93,Closed,Low
L000148,C14520,Education,247200.0,7.64,2022-07-20,84,156624.46,Active,Low
L000149,C02161,Auto,98500.0,8.34,2022-04-01,240,32530.11,Active,Low
L000150,C09230,Home,126200.0,14.67,2023-12-29,180,78529.65,Active,Medium
L000151,C06658,Education,96900.0,7.85,2022-07-29,12,8569.61,Overdue,Low
L000152,C06631,Home,455000.0,10.88,2025-09-30,48,26230.18,Active,Medium
L000153,C05721,Personal,63700.0,14.15,2023-03-22,12,48806.24,Active,Medium
L000154,C11926,Business,117100.0,9.7,2023-07-03,84,100035.23,Closed,Low
L000155,C10454,Auto,124300.0,7.79,2024-08-28,120,93133.62,Active,High
L000156,C05061,Education,111300.0,9.87,2025-10-06,180,42145.16,Active,Low
L000157,C10389,Auto,153100.0,11.6,2022-11-30,84,38743.45,Active,Medium
L000158,C14634,Personal,146600.0,12.27,2022-12-29,120,27046.72,Active,Medium
L000159,C13349,Home,138300.0,7.23,2023-12-18,36,19151.54,Active,Medium
L000160,C11720,Personal,315100.0,9.08,2024-04-12,48,220792.2,Closed,High
L000161,C14793,Home,368600.0,13.53,2023-01-26,24,25070.4,Overdue,Low
L000162,C00917,Home,113700.0,13.78,2023-03-31,120,104387.13,Active,Low
L000163,C08153,Home,99500.0,12.64,2025-04-14,120,18420.48,Closed,Low
L000164,C12351,Personal,57400.0,16.35,2022-08-03,120,37175.27,Active,High
L000165,C08691,Education,155800.0,15.56,2025-07-09,12,75385.12,Active,Low
L000166,C08177,Home,136100.0,13.83,2022-07-13,84,16564.39,Closed,Medium
L000167,C04353,Home,172000.0,9.99,2023-12-24,240,33215.19,Active,Medium
L000168,C04678,Personal,139900.0,9.49,2023-05-02,48,125579.92,Active,Low
L000169,C03522,Auto,149900.0,7.16,2024-09-14,84,72422.55,Active,Low
L000170,C01853,Personal,206600.0,9.69,2025-10-12,180,123407.57,Closed,Medium
L000171,C04978,Business,393600.0,8.57,2023-09-26,84,178123.29,Active,Medium
L000172,C01398,Home,163700.0,10.48,2024-08-17,240,19373.66,Active,Low
L000173,C13478,Home,50000.0,9.03,2025-08-09,24,7766.75,Active,Medium
L000174,C11725,Education,51400.0,12.81,2022-04-21,48,8342.39,Defaulted,Low
L000175,C14847,Auto,96700.0,15.58,2025-12-28,60,79963.47,Active,Low
L000176,C14724,Education,360200.0,16.32,2025-06-15,60,203601.43,Active,Medium
L000177,C05195,Home,65900.0,14.64,2025-10-19,240,36520.49,Closed,Medium
L000178,C07520,Home,151800.0,6.56,2023-01-09,24,75146.17,Defaulted,Low
L000179,C05487,Personal,55200.0,8.5,2024-04-25,180,9644.42,Active,Low
L000180,C01656,Personal,242500.0,8.43,2025-02-05,24,144414.2,Closed,Low
L000181,C08112,Business,124900.0,10.14,2023-05-15,12,58439.73,Active,Medium
L000182,C04124,Personal,50000.0,8.75,2025-05-21,120,24418.43,Closed,Low
L000183,C06858,Auto,116800.0,8.52,2022-04-25,84,19627.63,Active,Medium
L000184,C09703,Personal,118100.0,13.52,2023-07-05,36,95294.72,Active,High
L000185,C12373,Personal,133500.0,14.24,2022-03-20,48,39418.09,Active,Low
L000186,C08641,Personal,92900.0,15.02,2024-11-07,60,13182.18,Active,Low
L000187,C09840,Home,312300.0,15.81,2022-05-03,180,282920.84,Closed,Low
L000188,C07485,Home,213800.0,7.2,2022-10-02,240,200453.17,Active,Medium
L000189,C01080,Home,156100.0,15.47,2023-08-12,12,58815.05,Active,Low
L000190,C09473,Personal,205000.0,7.25,2023-03-31,180,176538.32,Active,Low
L000191,C05274,Business,273200.0,15.07,2023-09-26,36,144188.85,Active,Medium
L000192,C06624,Auto,102900.0,10.6,2022-03-17,36,51619.05,Active,Low
L000193,C11087,Home,272400.0,6.92,2024-03-03,240,89765.97,Active,Medium
L000194,C04969,Auto,136100.0,9.98,2024-08-02,84,10344.12,Active,High
L000195,C06115,Personal,162600.0,13.26,2022-11-08,36,84422.48,Active,Low
L000196,C02574,Personal,518000.0,15.8,2023-01-24,84,418915.38,Active,High
L000197,C09039,Home,682400.0,11.11,2025-09-05,60,202213.2,Active,Low
L000198,C03729,Home,143400.0,9.03,2025-09-30,36,76755.17,Closed,Medium
L000199,C04161,Business,131900.0,11.74,2025-03-04,24,102407.56,Active,Medium
L000200,C06037,Personal,588900.0,10.15,2024-08-11,24,223604.26,Active,Medium
L000201,C03174,Auto,81900.0,10.07,2022-09-08,12,27804.44,Active,Medium
L000202,C08459,Personal,199100.0,8.1,2024-04-08,84,17379.26,Overdue,Low
L000203,C01746,Personal,519500.0,9.64,2022-12-09,48,43747.75,Active,Medium
L000204,C04807,Personal,142200.0,9.35,2023-05-19,48,128978.73,Closed,High
L000205,C08166,Education,159400.0,12.6,2025-03-17,24,118411.55,Active,Medium
L000206,C05887,Home,76600.0,14.02,2022-04-20,84,70406.02,Active,Low
L000207,C08686,Home,55600.0,14.25,2025-09-30,60,9528.86,Active,Medium
L000208,C00454,Home,60100.0,7.68,2025-10-12,240,3276.48,Active,Low
L000209,C13807,Home,206000.0,11.86,2022-03-08,48,167162.18,Active,Low
L000210,C08126,Personal,445100.0,14.68,2025-09-07,24,161672.29,Closed,High
L000211,C12820,Auto,1250700.0,6.97,2022-01-23,12,179030.34,Active,High
L000212,C07245,Auto,55700.0,14.32,2022-05-03,84,38012.5,Overdue,Low
L000213,C09880,Personal,67000.0,11.44,2022-01-12,36,23897.37,Closed,Medium
L000214,C06978,Personal,118200.0,10.62,2022-10-14,180,32363.15,Active,Medium
L000215,C02903,Personal,517100.0,13.67,2023-01-01,60,240573.39,Active,Low
L000216,C06304,Auto,371600.0,13.13,2023-10-09,12,93109.82,Active,Low
L000217,C11829,Auto,64600.0,13.76,2023-11-14,60,23200.01,Closed,Low
L000218,C12011,Personal,232600.0,13.86,2025-09-10,180,98370.8,Closed,High
L000219,C05442,Auto,369500.0,7.41,2022-10-29,180,168188.27,Active,Medium
L000220,C03967,Business,98800.0,8.9,2024-05-20,60,48145.97,Closed,Low
L000221,C10897,Home,157100.0,12.66,2025-12-18,48,47614.44,Active,Low
L000222,C11685,Education,671700.0,13.27,2022-10-24,84,393670.34,Closed,Low
L000223,C02548,Home,255800.0,8.08,2025-07-03,48,120128.93,Closed,High
L000224,C14329,Home,283200.0,10.37,2024-01-09,60,184884.86,Active,Low
L000225,C08756,Home,144000.0,7.9,2025-07-16,12,91942.2,Active,Medium
L000226,C00681,Home,109300.0,10.32,2025-10-30,120,23730.68,Active,Low
L000227,C05329,Business,83200.0,6.93,2023-01-15,60,4828.28,Active,Low
L000228,C14980,Education,128200.0,12.56,2024-08-07,24,29927.3,Closed,Low
L000229,C07935,Home,208800.0,12.67,2023-08-07,12,105080.67,Active,Low
L000230,C02950,Home,113800.0,13.46,2022-10-13,48,55059.59,Overdue,Low
L000231,C14558,Auto,71200.0,15.41,2023-02-03,60,56229.87,Closed,Medium
L000232,C14756,Home,303700.0,8.68,2023-01-09,120,44408.44,Active,Medium
L000233,C09021,Home,418900.0,13.27,2024-08-17,180,151101.22,Closed,Medium
L000234,C02114,Education,96100.0,7.02,2023-03-18,48,58441.08,Active,Medium
L000235,C03766,Education,94200.0,15.69,2024-10-15,84,7111.78,Overdue,Low
L000236,C00746,Home,625600.0,14.17,2023-04-24,48,271006.45,Active,Low
L000237,C07260,Home,732500.0,9.34,2025-01-10,36,683922.08,Closed,Medium
L000238,C14909,Personal,138300.0,15.6,2022-03-09,36,10926.11,Active,Low
L000239,C00454,Education,268700.0,12.54,2024-09-26,180,75437.84,Active,Low
L000240,C13308,Home,52500.0,14.16,2023-03-15,120,32043.85,Closed,Medium
L000241,C12672,Personal,625400.0,11.1,2025-09-25,240,459018.97,Active,Low
L000242,C04193,Business,129400.0,6.99,2022-07-19,48,35177.21,Active,Low
L000243,C02278,Business,372500.0,14.49,2023-10-02,120,308729.1,Active,Medium
L000244,C01723,Home,373900.0,13.03,2023-01-03,48,290385.93,Closed,Low
L000245,C05956,Business,76800.0,12.31,2023-08-05,60,61689.31,Closed,Medium
L000246,C10859,Home,81200.0,8.04,2023-07-24,120,59894.08,Closed,High
L000247,C14995,Auto,313200.0,7.14,2022-11-23,180,17258.48,Active,Low
L000248,C07231,Auto,229100.0,13.99,2022-12-21,48,171530.86,Active,Low
L000249,C09522,Home,179800.0,11.04,2025-06-26,36,10659.21,Active,Low
L000250,C05599,Auto,267500.0,10.69,2025-04-11,48,220270.83,Active,Medium
L000251,C00292,Business,186900.0,14.88,2025-04-12,24,153422.71,Overdue,Medium
L000252,C14606,Auto,621800.0,11.23,2022-07-11,24,437296.51,Active,High
L000253,C08522,Education,50900.0,14.93,2025-05-30,12,20409.41,Active,High
L000254,C06874,Home,372700.0,7.87,2024-03-03,60,262078.58,Active,Medium
L000255,C12351,Education,339200.0,7.6,2022-04-30,120,228883.62,Active,Low
L000256,C07949,Personal,101800.0,13.0,2022-02-26,84,74011.15,Active,Low
L000257,C07682,Home,57200.0,12.18,2023-02-28,24,33040.79,Active,Low
L000258,C08075,Auto,50000.0,10.97,2023-11-21,240,28811.16,Active,Medium
L000259,C14183,Auto,256100.0,15.9,2022-03-26,84,181244.97,Active,Medium
L000260,C06577,Business,114400.0,15.05,2022-10-23,24,76738.63,Active,High
L000261,C07833,Auto,55500.0,8.51,2022-08-02,120,6348.49,Active,High
L000262,C03156,Personal,234800.0,7.25,2024-05-15,36,182197.01,Active,Low
L000263,C04548,Auto,242600.0,13.85,2023-11-14,36,82729.4,Active,Low
L000264,C12671,Personal,89800.0,11.38,2024-08-13,120,13912.91,Active,Medium
L000265,C13593,Personal,71000.0,8.19,2023-11-16,240,40339.98,Active,Medium
L000266,C01555,Business,135700.0,10.67,2023-04-17,36,9962.34,Active,Low
L000267,C05125,Auto,157600.0,10.75,2022-11-07,240,44112.02,Active,Low
L000268,C05516,Home,84000.0,7.86,2025-10-13,240,21749.8,Closed,Low
L000269,C05224,Home,117900.0,15.82,2022-05-03,36,29788.08,Active,Low
L000270,C07531,Home,306600.0,9.22,2025-08-21,240,202123.32,Defaulted,Medium
L000271,C12316,Personal,382000.0,14.17,2025-08-18,84,103706.34,Active,Low
L000272,C07014,Personal,353800.0,6.94,2022-02-14,60,182758.13,Active,Low
L000273,C07794,Personal,146600.0,13.19,2025-03-21,240,132366.35,Active,Medium
L000274,C04434,Personal,61500.0,10.46,2024-01-15,180,8290.34,Active,Medium
L000275,C00998,Home,263000.0,8.49,2025-11-25,12,226402.68,Closed,Medium
L000276,C03944,Personal,278000.0,11.88,2025-05-24,24,140027.66,Active,Low
L000277,C00226,Education,428300.0,7.1,2025-01-19,24,281687.72,Overdue,Low
L000278,C12933,Home,110800.0,15.8,2023-05-05,84,8087.28,Active,Medium
L000279,C05786,Personal,372600.0,9.19,2024-12-27,84,287837.88,Overdue,Medium
L000280,C06277,Personal,91800.0,7.89,2024-09-13,60,31115.87,Active,High
L000281,C09084,Personal,260600.0,7.03,2024-05-14,36,121083.8,Active,Medium
L000282,C08630,Personal,136000.0,11.92,2022-05-11,36,87065.12,Active,Medium
L000283,C09839,Business,224800.0,12.34,2025-02-21,180,12246.24,Active,Low
L000284,C00496,Personal,126500.0,7.26,2023-05-11,120,14062.32,Active,Low
L000285,C07807,Home,546600.0,14.44,2023-01-02,48,190619.98,Active,Low
L000286,C06385,Personal,91400.0,8.51,2024-10-15,120,36830.9,Active,Low
L000287,C12957,Home,876700.0,7.95,2022-12-25,24,301679.58,Closed,Medium
L000288,C03483,Personal,241500.0,8.12,2022-10-11,60,80902.58,Closed,Medium
L000289,C07477,Personal,156100.0,13.17,2025-05-26,60,10830.87,Active,High
L000290,C10799,Home,130000.0,10.65,2023-06-28,84,15242.39,Active,Low
L000291,C03234,Personal,205800.0,6.55,2023-09-05,180,102027.05,Closed,Low
L000292,C10974,Home,151500.0,11.47,2024-09-23,48,18962.56,Active,Medium
L000293,C09550,Home,93500.0,8.54,2022-10-14,60,43162.39,Active,Low
L000294,C12754,Personal,181300.0,14.29,2022-11-19,12,9404.67,Active,Low
L000295,C08322,Home,492200.0,7.37,2024-09-24,48,146192.75,Closed,Low
L000296,C05355,Auto,572600.0,14.16,2022-04-12,84,358462.03,Defaulted,Low
L000297,C04848,Auto,164000.0,12.65,2024-07-24,84,116961.85,Closed,High
L000298,C11612,Personal,217100.0,12.69,2024-06-14,84,196130.94,Active,Low
L000299,C06469,Personal,333800.0,12.36,2025-06-30,24,72315.08,Active,Low
L000300,C11435,Personal,216200.0,13.66,2025-03-14,48,99485.16,Active,Medium
L000301,C13453,Personal,192200.0,8.03,2025-03-08,180,145522.05,Closed,Low
L000302,C06039,Personal,272400.0,8.52,2022-04-28,36,174380.3,Closed,Medium
L000303,C05880,Auto,50000.0,12.44,2025-09-27,60,11431.09,Active,Low
L000304,C05370,Home,242300.0,15.0,2025-05-26,48,182094.32,Active,Low
L000305,C05887,Business,244400.0,16.1,2024-05-08,60,59186.29,Active,Low
L000306,C08088,Education,270000.0,6.75,2022-11-18,12,229463.76,Overdue,Low
L000307,C07305,Personal,190500.0,7.06,2024-04-26,240,88380.89,Closed,Low
L000308,C09078,Home,221000.0,15.18,2024-02-07,60,164180.5,Active,Low
L000309,C00271,Personal,53800.0,6.83,2023-05-19,84,23732.48,Active,Low
L000310,C12300,Home,128600.0,10.3,2023-08-01,240,9586.76,Active,Low
L000311,C08958,Auto,62200.0,12.74,2024-02-08,36,54764.86,Overdue,Low
L000312,C01056,Auto,582200.0,11.56,2025-06-13,48,352150.17,Active,High
L000313,C13816,Personal,140500.0,12.04,2022-10-19,36,27660.74,Active,Low
L000314,C13484,Home,257300.0,10.81,2024-01-26,180,80645.66,Active,Medium
L000315,C13282,Personal,161600.0,11.44,2024-12-06,180,125511.17,Active,Medium
L000316,C05365,Personal,94000.0,8.89,2024-03-24,240,33044.01,Active,Low
L000317,C10043,Education,151300.0,15.05,2025-04-18,24,35732.19,Active,Low
L000318,C14220,Home,119100.0,13.21,2022-12-12,36,27744.86,Active,Medium
L000319,C05985,Home,196500.0,15.29,2022-10-20,48,179389.31,Active,Low
L000320,C01820,Personal,50000.0,9.99,2023-08-05,60,6685.49,Active,Low
L000321,C14215,Business,241900.0,6.73,2024-02-24,36,215900.16,Active,Low
L000322,C12630,Personal,50000.0,16.31,2023-11-26,180,36293.08,Active,Low
L000323,C01116,Personal,219000.0,12.55,2022-06-05,60,120910.6,Active,Medium
L000324,C11824,Auto,112700.0,7.0,2023-12-24,84,40995.47,Active,Medium
L000325,C11105,Education,770200.0,7.82,2023-03-28,12,535870.8,Active,Low
L000326,C13777,Auto,349100.0,15.79,2024-01-03,60,233440.75,Active,Low
L000327,C13198,Personal,278600.0,11.86,2025-08-31,60,228442.6,Active,Low
L000328,C02676,Auto,156000.0,14.11,2023-04-23,36,81321.42,Active,Low
L000329,C10165,Auto,50000.0,9.35,2025-09-08,120,23408.89,Active,Medium
L000330,C02190,Home,288800.0,6.83,2023-07-10,180,198918.86,Closed,Low
L000331,C12383,Home,243900.0,8.43,2023-11-07,84,192667.45,Closed,High
L000332,C06133,Auto,67000.0,13.41,2025-03-28,180,58621.92,Active,Medium
L000333,C05452,Personal,83600.0,8.46,2025-02-05,48,26598.72,Overdue,Medium
L000334,C09016,Personal,117700.0,10.28,2025-05-09,120,15083.97,Defaulted,Low
L000335,C00398,Home,303000.0,12.63,2023-11-21,240,208268.32,Active,Medium
L000336,C14485,Business,205500.0,12.32,2023-02-18,120,45508.22,Active,High
