Activity_ID,Customer_ID,Date,Login_Count,App_Usage_Minutes,Service_Calls,Product_Interactions,Is_Active
ACT0000055,C02669,2023-11-28,2,11.0,2,2,True
ACT0000056,C10629,2024-06-09,3,27.6,0,2,True
ACT0000057,C02247,2024-12-27,3,34.7,0,1,False
ACT0000058,C05339,2025-04-24,1,10.2,1,2,True
ACT0000059,C11381,2024-05-28,1,26.1,1,3,True
ACT0000060,C03971,2024-12-19,2,67.6,1,1,True
ACT0000061,C14630,2025-04-30,3,22.0,0,3,True
ACT0000062,C09392,2023-02-01,3,10.9,0,2,True
ACT0000063,C04587,2024-04-14,5,39.3,0,0,True
ACT0000064,C01840,2025-07-23,2,38.0,1,2,True
ACT0000065,C03182,2025-04-13,4,33.9,1,1,True
ACT0000066,C05504,2023-01-01,4,23.5,0,1,False
ACT0000067,C13398,2023-01-04,5,13.7,0,3,True
ACT0000068,C02035,2023-08-04,5,52.8,1,4,True
ACT0000069,C04251,2024-04-04,1,19.9,0,1,True
ACT0000070,C11599,2025-10-22,2,19.9,0,1,True
ACT0000071,C09309,2024-06-25,3,34.0,1,4,True
ACT0000072,C05120,2025-04-21,3,63.3,0,5,True
ACT0000073,C08373,2023-12-14,4,45.4,0,1,True
ACT0000074,C12748,2024-04-09,0,112.0,0,1,False
ACT0000075,C13298,2023-08-02,0,35.3,1,0,False
ACT0000076,C12378,2023-12-14,3,50.7,0,2,True
ACT0000077,C03457,2023-11-10,2,32.1,0,2,True
ACT0000078,C07315,2025-06-14,2,49.3,0,3,False
ACT0000079,C08975,2023-09-01,2,45.1,0,1,True
ACT0000080,C02334,2023-12-27,1,61.3,0,3,True
ACT0000081,C00143,2023-07-21,4,27.0,0,2,False
ACT0000082,C01059,2024-08-03,3,30.5,0,6,False
ACT0000083,C13028,2023-08-11,8,50.2,0,0,True
ACT0000084,C01842,2025-10-30,6,13.4,0,1,True
ACT0000085,C14091,2025-07-28,2,14.3,0,0,False
ACT0000086,C03225,2025-04-04,3,17.5,0,1,True
ACT0000087,C10960,2025-12-03,1,24.8,0,2,True
ACT0000088,C12443,2023-11-11,1,49.5,0,1,True
ACT0000089,C09186,2025-12-22,5,36.6,0,1,True
ACT0000090,C07113,2025-02-18,1,35.5,0,6,False
ACT0000091,C05008,2025-02-16,1,35.0,0,0,True
ACT0000092,C11262,2023-09-18,2,17.5,0,1,True
ACT0000093,C08454,2024-02-28,0,34.4,0,0,False
ACT0000094,C00815,2023-04-12,1,25.6,0,2,False
ACT0000095,C03961,2024-01-02,0,14.5,0,1,False
ACT0000096,C12169,2025-02-13,2,32.3,1,1,False
ACT0000097,C02129,2023-08-07,4,12.6,0,2,True
ACT0000098,C00466,2025-10-16,3,19.0,0,0,True
ACT0000099,C07606,2023-03-29,2,34.8,0,0,True
ACT0000100,C11897,2023-07-15,5,19.9,1,1,True
ACT0000101,C03909,2024-11-18,2,29.3,0,2,True
ACT0000102,C08884,2023-06-06,2,12.1,0,2,True
ACT0000103,C07788,2023-11-09,2,5.8,0,1,True
ACT0000104,C02426,2025-06-09,1,38.6,0,1,True
ACT0000105,C00676,2025-01-08,4,13.4,1,2,True
ACT0000106,C11348,2024-02-07,0,38.1,0,3,False
ACT0000107,C12135,2024-03-29,1,20.7,0,4,True
ACT0000108,C06713,2023-08-27,7,40.0,0,1,True
ACT0000109,C02929,2024-11-18,2,29.8,0,2,False
ACT0000110,C07715,2023-12-19,5,39.1,0,1,True
ACT0000111,C03016,2024-09-19,6,28.5,0,1,True
ACT0000112,C01829,2024-01-10,3,8.6,0,1,False
ACT0000113,C13916,2025-11-17,3,68.5,0,2,True
ACT0000114,C07101,2023-04-22,1,8.6,1,1,True
ACT0000115,C08161,2024-08-04,2,47.4,0,2,True
ACT0000116,C09289,2023-04-09,5,14.3,1,1,False
ACT0000117,C04536,2024-10-01,3,20.4,0,1,True
ACT0000118,C09172,2024-09-24,3,13.6,1,4,True
ACT0000119,C01335,2023-03-23,2,28.0,0,2,True
ACT0000120,C10937,2024-01-16,3,56.1,1,0,True
ACT0000121,C05541,2023-11-07,2,29.6,0,3,True
ACT0000122,C00927,2023-04-06,3,33.9,1,3,True
ACT0000123,C01445,2024-09-05,0,39.2,0,3,True
ACT0000124,C08574,2025-01-14,3,22.6,0,1,False
ACT0000125,C11866,2024-04-26,2,47.2,0,1,True
ACT0000126,C07348,2024-02-10,3,23.9,0,3,False
ACT0000127,C05484,2024-04-12,4,88.9,0,2,True
ACT0000128,C07099,2023-05-06,3,31.2,1,1,True
ACT0000129,C03165,2025-10-08,2,23.9,0,4,True
ACT0000130,C09246,2025-01-12,2,38.7,0,3,True
ACT0000131,C05478,2025-05-30,2,23.4,1,2,False
ACT0000132,C00105,2023-03-11,3,4.9,0,6,False
ACT0000133,C10840,2025-10-17,7,9.5,0,1,True
ACT0000134,C13857,2024-11-10,1,62.8,1,2,True
ACT0000135,C03676,2025-01-10,3,26.1,0,1,True
ACT0000136,C05271,2025-01-28,4,44.5,0,0,True
ACT0000137,C06651,2023-10-14,4,17.1,0,3,True
ACT0000138,C10007,2023-11-16,4,27.1,1,1,True
ACT0000139,C14713,2023-03-07,0,26.6,0,1,False
ACT0000140,C13886,2025-07-20,5,55.4,0,2,True
ACT0000141,C00875,2025-11-18,2,18.2,0,2,True
ACT0000142,C01145,2024-10-08,2,7.0,0,1,True
ACT0000143,C10654,2023-10-18,4,63.4,0,5,True
ACT0000144,C14589,2023-07-14,3,38.8,0,4,True
ACT0000145,C03718,2025-07-27,5,31.6,0,1,True
ACT0000146,C07222,2024-08-16,2,35.6,0,2,True
ACT0000147,C04991,2024-12-23,1,18.2,1,2,True
ACT0000148,C12727,2023-09-21,4,16.0,0,1,True
ACT0000149,C08521,2024-10-29,2,37.6,1,1,True
ACT0000150,C11470,2025-03-25,5,12.2,0,0,True
ACT0000151,C08792,2024-08-12,1,13.3,0,2,True
ACT0000152,C08885,2025-09-02,6,39.6,1,1,True
ACT0000153,C12862,2023-04-25,1,41.3,0,5,False
ACT0000154,C09229,2025-08-27,1,24.5,0,1,True
ACT0000155,C09192,2023-05-17,6,24.9,0,1,True
ACT0000156,C10476,2025-07-29,5,66.9,0,1,True
ACT0000157,C04233,2023-02-03,4,16.7,0,0,False
ACT0000158,C13856,2025-09-24,2,17.9,0,1,True
ACT0000159,C13988,2025-04-17,3,33.1,0,1,True
ACT0000160,C08215,2025-05-22,3,29.2,0,3,False
ACT0000161,C01805,2025-07-01,3,20.4,0,1,True
ACT0000162,C03509,2025-09-22,4,13.3,0,3,True
ACT0000163,C09195,2024-03-19,6,12.0,0,0,True
ACT0000164,C14284,2024-07-04,4,40.3,0,2,True
ACT0000165,C07409,2025-02-16,4,36.0,0,2,True
ACT0000166,C12917,2025-10-31,2,14.3,1,3,True
ACT0000167,C02730,2025-08-03,4,45.4,1,2,True
ACT0000168,C09387,2025-01-05,6,46.3,1,3,True
ACT0000169,C09858,2025-03-27,7,31.8,0,1,True
ACT0000170,C07628,2023-07-09,5,20.7,0,3,True
ACT0000171,C00262,2024-05-09,4,25.8,1,3,True
ACT0000172,C10280,2025-10-03,3,55.0,1,2,True
ACT0000173,C12263,2025-04-18,4,22.4,0,1,True
ACT0000174,C04786,2025-07-29,5,39.9,1,2,True
ACT0000175,C13432,2024-02-07,8,6.4,0,2,True
ACT0000176,C09437,2024-06-15,4,63.7,0,3,True
ACT0000177,C10016,2024-04-03,2,13.8,0,5,True
ACT0000178,C07917,2025-12-20,3,69.5,0,5,True
ACT0000179,C00081,2023-10-02,2,13.8,0,1,True
ACT0000180,C03467,2025-07-02,8,44.6,0,1,False
ACT0000181,C13814,2023-04-24,3,37.5,0,1,True
ACT0000182,C14690,2024-02-07,2,24.6,1,2,True
ACT0000183,C03503,2025-09-15,4,12.6,0,2,True
ACT0000184,C05616,2024-09-12,2,29.6,1,2,True
ACT0000185,C01227,2025-10-23,1,26.9,0,1,True
ACT0000186,C05397,2023-01-27,0,19.9,0,3,True
ACT0000187,C00143,2023-03-01,3,16.9,0,1,True
ACT0000188,C14887,2024-08-30,2,78.0,1,3,True
ACT0000189,C02773,2024-04-13,2,48.2,0,1,False
ACT0000190,C03577,2025-01-13,2,28.1,0,2,True
ACT0000191,C14020,2025-09-16,5,24.0,0,0,True
ACT0000192,C01411,2024-10-20,0,33.2,1,3,True
ACT0000193,C03043,2023-11-13,6,18.8,0,0,True
ACT0000194,C07723,2025-10-07,4,27.5,0,0,True
ACT0000195,C02699,2025-05-10,5,4.2,2,3,True
ACT0000196,C05382,2023-09-24,1,29.5,0,0,False
ACT0000197,C04657,2024-11-28,4,9.5,0,3,False
ACT0000198,C10083,2025-07-02,3,69.5,0,2,False
ACT0000199,C11399,2024-01-07,4,8.4,0,3,True
ACT0000200,C10800,2024-01-03,6,8.1,1,2,True
ACT0000201,C09572,2024-09-19,3,36.4,0,1,True
ACT0000202,C07735,2024-11-26,2,28.5,0,3,True
ACT0000203,C08426,2024-02-08,1,13.0,0,3,True
ACT0000204,C00191,2024-07-10,3,13.4,0,2,True
ACT0000205,C04649,2025-02-14,0,37.7,0,0,True
ACT0000206,C08353,2024-03-21,2,41.4,0,3,True
ACT0000207,C10384,2024-04-21,3,28.6,0,0,True
ACT0000208,C01661,2025-11-15,1,38.6,0,3,True
ACT0000209,C09638,2024-04-26,3,27.3,0,3,True
ACT0000210,C10614,2025-07-05,4,9.7,2,0,True
ACT0000211,C14269,2024-12-04,3,4.0,2,3,False
ACT0000212,C07119,2023-04-26,3,17.4,0,0,True
ACT0000213,C05450,2023-10-06,5,14.3,0,1,True
ACT0000214,C13515,2025-09-01,2,48.7,0,2,True
ACT0000215,C13602,2024-03-15,4,20.1,1,1,True
ACT0000216,C05617,2025-03-26,4,3.1,0,2,True
ACT0000217,C01470,2025-09-08,2,19.1,0,3,True
ACT0000218,C04113,2025-05-21,2,29.8,0,1,False
ACT0000219,C03175,2025-09-28,1,48.8,0,3,True
ACT0000220,C12499,2023-05-25,3,15.4,0,4,True
ACT0000221,C09498,2023-06-16,1,14.0,0,3,False
ACT0000222,C04094,2025-11-09,3,27.7,0,5,True
ACT0000223,C09096,2025-01-31,1,39.9,1,2,True
ACT0000224,C12287,2024-01-16,4,20.9,0,1,True
ACT0000225,C04995,2023-10-11,1,18.7,1,2,True
ACT0000226,C03924,2025-06-09,2,87.1,0,5,True
ACT0000227,C05687,2025-05-16,4,58.5,0,1,True
ACT0000228,C09031,2025-08-04,4,79.7,0,0,True
ACT0000229,C09605,2024-05-29,5,14.8,0,0,True
ACT0000230,C02511,2025-05-19,2,21.7,0,2,True
ACT0000231,C10884,2025-10-13,1,48.3,1,2,True
ACT0000232,C09362,2023-03-02,4,51.9,0,4,False
ACT0000233,C11149,2023-11-16,2,18.5,0,1,True
ACT0000234,C09107,2024-09-03,5,50.1,1,2,True
ACT0000235,C11504,2025-01-11,2,55.4,0,1,True
ACT0000236,C04789,2025-11-24,1,23.1,1,4,True
ACT0000237,C00707,2024-09-14,2,43.0,1,3,False
ACT0000238,C11169,2025-09-10,4,40.1,0,1,True
ACT0000239,C01682,2023-03-26,3,27.7,0,2,False
ACT0000240,C01796,2025-11-05,1,14.5,0,0,True
ACT0000241,C09001,2024-05-29,7,16.4,0,0,True
ACT0000242,C06453,2025-02-12,2,13.2,0,1,True
ACT0000243,C08391,2024-04-10,2,15.7,0,1,True
ACT0000244,C08792,2024-06-23,3,8.7,1,2,False
ACT0000245,C01055,2023-05-20,2,35.8,1,0,True
ACT0000246,C03582,2023-03-29,1,24.9,0,1,True
ACT0000247,C07027,2023-08-06,2,4.6,0,3,False
ACT0000248,C02505,2023-08-18,3,27.4,0,1,False
ACT0000249,C02706,2023-01-19,2,24.5,0,2,True
ACT0000250,C03355,2025-11-22,2,37.3,0,0,True
ACT0000251,C03204,2024-11-30,1,48.8,0,2,False
ACT0000252,C13926,2023-03-02,2,30.3,1,2,False
ACT0000253,C05883,2025-02-24,1,20.8,0,2,True
ACT0000254,C06071,2024-08-01,1,5.4,1,1,True
ACT0000255,C13392,2024-10-01,3,5.1,0,1,True
ACT0000256,C09889,2023-12-04,3,27.4,0,3,True
ACT0000257,C11957,2024-07-09,3,77.8,0,2,True
ACT0000258,C04168,2025-04-07,0,11.1,0,1,True
ACT0000259,C13307,2025-09-22,1,88.2,0,4,True
ACT0000260,C06250,2025-10-12,3,33.9,0,4,True
ACT0000261,C07885,2023-09-23,2,21.6,0,0,True
ACT0000262,C12958,2025-10-11,1,22.8,0,2,True
ACT0000263,C06888,2023-05-24,3,19.4,0,1,False
ACT0000264,C04005,2023-01-14,1,29.8,0,1,True
ACT0000265,C12330,2024-12-18,2,44.7,0,0,True
ACT0000266,C13531,2025-04-26,3,38.1,0,1,True
ACT0000267,C02449,2023-03-10,3,15.6,1,1,True
ACT0000268,C10261,2025-12-08,3,45.7,0,1,False
ACT0000269,C09958,2023-06-21,1,38.3,1,4,False
ACT0000270,C03722,2025-12-09,2,37.8,0,0,True
ACT0000271,C08711,2024-02-03,2,33.1,1,0,True
ACT0000272,C10024,2024-01-19,1,9.2,0,1,False
ACT0000273,C02405,2025-09-26,4,6.4,0,0,True
ACT0000274,C12647,2025-06-16,2,20.8,1,0,True
ACT0000275,C02604,2023-07-27,3,45.0,1,0,True
ACT0000276,C00883,2025-03-16,4,25.2,0,0,True
ACT0000277,C01050,2024-12-02,0,9.5,0,0,False
ACT0000278,C13287,2025-08-09,0,46.1,0,4,True
ACT0000279,C12577,2025-04-01,4,49.2,0,0,True
ACT0000280,C08048,2023-06-13,5,4.3,1,0,True
ACT0000281,C00504,2024-04-19,4,17.5,0,0,True
ACT0000282,C14811,2023-09-16,3,21.8,1,2,True
ACT0000283,C05171,2024-10-10,6,31.2,0,4,True
ACT0000284,C14357,2024-11-27,4,48.8,0,1,True
ACT0000285,C09879,2025-12-06,2,22.7,0,1,True
ACT0000286,C03257,2024-08-29,2,3.4,0,1,False
ACT0000287,C12682,2025-01-14,4,43.9,0,1,True
ACT0000288,C11432,2025-01-12,2,7.7,0,2,True
ACT0000289,C01582,2025-08-02,4,26.5,1,0,True
ACT0000290,C04730,2025-01-01,3,37.0,0,1,True
ACT0000291,C04997,2024-06-24,4,19.9,0,0,True
ACT0000292,C14128,2023-01-05,2,33.3,0,1,True
ACT0000293,C11539,2023-06-29,5,25.7,0,1,True
ACT0000294,C14071,2025-07-04,1,89.2,0,2,True
ACT0000295,C05729,2025-07-04,3,13.1,0,0,True
ACT0000296,C05968,2023-04-17,1,14.1,0,2,True
ACT0000297,C11504,2024-05-13,6,18.5,0,0,True
ACT0000298,C10464,2023-08-21,2,48.8,0,3,True
ACT0000299,C13055,2023-12-06,2,46.6,0,2,True
ACT0000300,C12032,2023-11-07,5,23.3,0,1,True
ACT0000301,C05354,2023-07-13,3,17.5,0,2,True
ACT0000302,C08239,2023-01-27,2,47.2,0,0,True
ACT0000303,C08271,2025-01-14,4,29.2,1,2,True
ACT0000304,C06957,2023-05-29,4,18.9,0,4,True
ACT0000305,C04212,2024-10-02,3,8.8,0,1,True
ACT0000306,C04369,2023-04-25,4,30.5,2,0,True
ACT0000307,C08402,2024-11-24,3,73.5,0,1,True
ACT0000308,C05646,2025-06-06,2,60.2,0,1,False
ACT0000309,C08381,2025-10-13,5,41.3,1,2,True
ACT0000310,C05932,2023-11-01,4,12.2,0,0,False
ACT0000311,C07393,2023-09-04,3,14.1,1,1,True
ACT0000312,C14129,2023-04-05,5,18.7,0,2,True
ACT0000313,C09413,2023-03-19,2,23.9,1,0,True
ACT0000314,C11240,2025-09-04,2,80.0,0,1,True
ACT0000315,C13129,2024-11-28,4,38.2,0,3,True
ACT0000316,C04719,2025-07-30,0,39.9,0,0,True
ACT0000317,C12038,2025-03-27,5,39.5,0,2,True
ACT0000318,C09516,2024-11-09,3,43.6,0,1,True
ACT0000319,C04652,2025-07-30,2,15.6,0,1,False
ACT0000320,C02516,2023-11-14,6,7.8,0,1,False
ACT0000321,C13260,2023-09-13,3,20.8,0,0,True
ACT0000322,C08534,2024-11-26,2,53.9,0,3,True
ACT0000323,C05002,2024-03-07,5,6.4,0,0,False
ACT0000324,C05658,2024-12-06,3,28.4,2,1,True
ACT0000325,C13355,2024-08-28,3,41.5,0,1,True
ACT0000326,C13405,2023-06-29,3,24.5,0,0,True
ACT0000327,C06458,2023-05-14,4,91.6,0,4,True
ACT0000328,C06234,2023-11-09,2,13.1,0,0,True
ACT0000329,C08572,2023-10-21,4,53.2,0,2,False
ACT0000330,C13732,2025-04-14,4,6.3,0,2,False
ACT0000331,C10254,2024-01-03,3,18.3,0,4,True
ACT0000332,C01249,2024-02-18,3,51.5,0,1,True
ACT0000333,C07594,2025-02-07,1,14.4,2,1,True
ACT0000334,C00123,2025-04-18,2,48.9,1,1,True
ACT0000335,C10064,2025-05-12,1,10.8,0,0,True
ACT0000336,C10839,2024-01-27,3,12.2,1,1,False
ACT0000337,C05365,2024-05-30,1,56.9,0,1,False
ACT0000338,C02465,2023-11-23,8,78.2,0,2,True
ACT0000339,C01238,2024-02-22,1,16.1,1,1,True
ACT0000340,C04165,2024-04-02,6,26.9,1,2,False
ACT0000341,C09500,2023-08-11,2,21.1,0,0,True
ACT0000342,C07751,2025-12-12,4,13.0,1,3,True
ACT0000343,C02705,2024-12-01,1,13.5,0,2,True
ACT0000344,C01096,2024-03-31,3,34.1,1,0,False
ACT0000345,C09152,2023-08-24,1,19.2,1,0,True
ACT0000346,C12328,2023-08-13,4,30.1,0,0,False
ACT0000347,C08873,2023-12-24,3,20.8,1,1,True
ACT0000348,C05805,2023-08-18,3,6.3,0,2,True
ACT0000349,C07988,2024-05-26,2,17.4,0,1,True
ACT0000350,C03834,2023-04-15,5,10.8,1,2,True
ACT0000351,C13479,2024-08-25,3,54.5,0,0,True
ACT0000352,C02055,2025-03-06,6,18.3,0,2,True
ACT0000353,C05725,2024-04-02,5,9.3,0,1,True
ACT0000354,C05972,2023-10-26,5,25.4,0,3,False
ACT0000355,C02143,2025-05-11,6,64.9,0,0,False
ACT0000356,C01583,2024-02-07,3,57.3,2,2,True
ACT0000357,C07234,2024-05-09,2,38.2,0,2,False
ACT0000358,C02873,2023-06-15,2,37.4,1,1,True
ACT0000359,C12181,2023-03-31,2,40.6,0,0,True
ACT0000360,C02612,2025-04-12,2,8.8,0,4,True
ACT0000361,C13759,2024-04-17,1,32.8,0,1,True
ACT0000362,C09516,2023-08-19,2,33.2,1,2,True
ACT0000363,C12755,2024-06-30,6,12.2,0,2,True
ACT0000364,C10144,2023-11-21,4,22.1,0,0,True
ACT0000365,C02688,2025-01-14,2,10.6,0,1,True
ACT0000366,C13637,2023-09-26,5,47.1,0,1,True
ACT0000367,C07074,2025-02-22,7,18.4,0,0,False
ACT0000368,C00721,2023-06-09,1,23.6,1,0,True
ACT0000369,C00378,2025-08-17,6,23.6,2,2,True
ACT0000370,C06212,2025-05-08,3,42.7,0,3,False
ACT0000371,C12806,2024-10-15,2,35.9,1,0,False
ACT0000372,C04977,2024-11-02,0,42.5,1,1,True
ACT0000373,C09223,2024-04-27,0,57.1,0,1,True
ACT0000374,C08721,2025-09-04,1,1.3,0,5,True
ACT0000375,C06636,2023-02-22,1,25.2,0,1,True
ACT0000376,C14953,2024-08-02,2,26.9,0,2,True
ACT0000377,C13714,2023-01-18,4,21.2,1,2,False
ACT0000378,C09571,2023-02-28,2,10.4,0,1,True
ACT0000379,C13036,2025-02-11,1,44.8,0,2,True
ACT0000380,C04437,2025-03-09,7,36.9,1,0,True
ACT0000381,C14867,2025-09-19,6,10.7,0,0,True
ACT0000382,C07754,2025-08-19,4,27.4,1,3,True
ACT0000383,C09753,2025-02-18,1,15.6,0,1,True
ACT0000384,C05154,2023-06-07,4,118.7,0,1,True
ACT0000385,C10824,2025-06-02,5,55.1,1,1,True
ACT0000386,C03315,2025-07-18,2,33.6,0,2,True
ACT0000387,C02737,2024-06-07,2,14.6,1,3,True
ACT0000388,C00288,2023-06-27,4,25.3,0,1,True
ACT0000389,C07689,2025-03-21,3,23.9,0,0,True
ACT0000390,C14358,2023-10-02,3,33.5,0,1,True
ACT0000391,C04773,2023-02-24,2,12.9,0,1,False
ACT0000392,C02165,2024-09-24,2,30.1,0,1,True
ACT0000393,C08949,2023-01-29,2,52.5,1,1,True
ACT0000394,C00125,2023-03-24,4,35.7,1,2,False
ACT0000395,C06054,2023-03-26,7,57.2,0,0,True
ACT0000396,C05752,2024-03-15,2,22.7,0,3,True
ACT0000397,C12887,2025-12-03,4,53.3,0,1,True
ACT0000398,C08585,2025-05-27,5,51.9,0,0,True
ACT0000399,C04197,2023-03-05,2,63.5,0,1,True
ACT0000400,C09283,2023-06-19,5,55.2,0,1,True
ACT0000401,C00879,2024-05-27,1,21.0,0,0,True
ACT0000402,C01262,2025-04-29,3,32.6,0,2,True
ACT0000403,C03843,2023-03-24,2,23.8,0,0,True
ACT0000404,C03954,2023-01-28,4,16.8,1,7,True
ACT0000405,C08012,2025-07-24,4,21.7,0,0,True
ACT0000406,C12174,2024-04-28,0,20.7,0,2,True
ACT0000407,C09331,2024-05-14,3,9.2,0,2,True
ACT0000408,C11483,2025-09-07,1,45.6,0,0,True
ACT0000409,C02126,2025-03-06,2,9.4,0,0,False
ACT0000410,C13016,2023-09-30,3,27.9,0,2,True
ACT0000411,C14560,2025-09-01,3,50.5,0,1,True
ACT0000412,C03529,2024-12-13,2,39.7,0,4,True
ACT0000413,C10427,2023-07-18,4,4.6,0,2,False
ACT0000414,C08207,2024-03-23,2,24.5,0,3,False
ACT0000415,C03674,2023-10-30,6,14.1,0,1,True
ACT0000416,C00239,2024-06-17,2,33.5,1,1,True
ACT0000417,C06326,2024-12-01,4,31.5,0,0,True
ACT0000418,C05774,2024-01-22,2,21.0,0,0,True
ACT0000419,C02034,2023-03-11,3,18.0,0,1,True
ACT0000420,C10364,2024-04-03,1,51.1,1,1,True
ACT0000421,C11921,2023-09-09,1,15.8,0,1,True
ACT0000422,C12788,2024-06-26,5,8.4,0,0,True
ACT0000423,C07789,2024-12-25,2,87.0,0,0,True
ACT0000424,C14762,2023-01-08,3,54.7,1,4,True
ACT0000425,C10199,2024-07-27,1,31.1,0,1,False
ACT0000426,C12231,2025-06-08,1,23.0,2,1,True
ACT0000427,C11725,2023-04-17,5,74.4,0,3,True
ACT0000428,C03670,2025-04-14,1,34.5,1,4,True
ACT0000429,C14702,2024-01-19,1,4.2,0,4,True
ACT0000430,C09021,2025-10-04,2,93.1,0,1,True
ACT0000431,C04452,2025-06-27,4,22.9,0,2,True
ACT0000432,C03345,2023-05-29,3,24.5,1,2,True
ACT0000433,C07392,2024-04-29,2,17.7,1,1,True
ACT0000434,C01495,2023-07-01,3,34.5,0,2,True
ACT0000435,C00820,2025-10-24,1,14.9,0,6,True
ACT0000436,C06827,2024-04-17,2,22.5,0,0,False
ACT0000437,C04453,2024-01-23,3,7.8,2,0,True
ACT0000438,C06205,2023-01-16,1,23.4,0,1,True
ACT0000439,C02766,2023-02-25,2,18.4,0,1,False
ACT0000440,C13494,2025-04-07,1,42.9,0,0,True
ACT0000441,C13582,2024-12-14,5,27.8,0,1,True
ACT0000442,C06207,2023-05-23,5,8.7,0,1,True
ACT0000443,C08444,2025-03-30,3,9.2,0,1,True
ACT0000444,C00289,2025-04-19,2,18.1,1,2,True
ACT0000445,C02893,2024-10-23,8,9.0,0,0,True
ACT0000446,C05265,2023-10-18,4,34.6,0,4,True
ACT0000447,C04307,2023-01-21,1,28.9,1,2,True
ACT0000448,C02216,2024-01-12,5,23.4,0,0,True
ACT0000449,C05615,2024-05-03,1,9.8,2,3,True
ACT0000450,C06029,2023-10-02,4,11.3,0,0,True
ACT0000451,C05397,2024-02-02,0,16.5,0,2,True
ACT0000452,C02856,2024-01-02,5,20.4,0,4,True
ACT0000453,C11613,2025-08-03,3,34.2,0,2,True
ACT0000454,C11546,2025-10-26,3,24.9,0,1,True
ACT0000455,C09528,2025-05-05,6,90.8,0,1,False
ACT0000456,C01808,2025-10-02,8,10.0,0,0,True
ACT0000457,C00493,2025-05-21,2,70.6,1,1,True
ACT0000458,C09863,2024-02-24,4,11.5,0,3,False
ACT0000459,C07473,2023-07-18,3,14.0,0,1,True
ACT0000460,C11914,2023-09-30,2,19.8,0,2,True
ACT0000461,C07245,2025-07-30,4,21.2,1,2,True
ACT0000462,C10244,2024-01-28,3,29.5,0,2,True
ACT0000463,C11012,2025-06-04,3,28.0,1,2,True
