Transaction_ID,Date,Customer_ID,Account_ID,Branch_ID,Transaction_Type,Channel,Amount,Status,Location_Type,Is_Anomaly
T0000291,2025-11-13,C02620,A006996,B026,Debit,ATM,10735.89,Success,Domestic,False
T0000292,2023-10-01,C08043,A003922,B035,Debit,ATM,9832.92,Success,Domestic,False
T0000293,2025-05-01,C03623,A002948,B001,Credit,POS,9976.87,Success,Domestic,False
T0000294,2024-03-20,C05691,A004598,B020,Debit,IMPS,11908.38,Success,Domestic,False
T0000295,2024-07-31,C02278,A021335,B008,Credit,NEFT,2421.71,Success,Domestic,False
T0000296,2024-05-22,C00106,A000936,B001,Debit,POS,3780.63,Success,Domestic,False
T0000297,2025-01-27,C13012,A021116,B007,Debit,POS,7101.27,Success,Domestic,False
T0000298,2025-01-04,C04158,A017576,B037,Debit,POS,6475.47,Success,Domestic,False
T0000299,2023-05-11,C13960,A002469,B019,Credit,POS,1612.94,Success,Domestic,False
T0000300,2025-05-10,C03027,A002098,B046,Credit,POS,721.54,Success,Domestic,False
T0000301,2024-04-20,C13581,A017914,B013,Credit,IMPS,1232.98,Success,Domestic,False
