Customer_ID,Customer_Name,Gender,Age,Income_Annual,Occupation,City,State,Customer_Segment,Join_Date,Branch_ID
C00026,Customer 00026,Female,42,45400.0,Salaried,Kolkata,West Bengal,Regular,2024-08-23,B035
C00027,Customer 00027,Male,41,96700.0,Salaried,Bengaluru,Karnataka,Mass Affluent,2025-10-29,B060
C00028,Customer 00028,Female,39,47600.0,Self-Employed,Delhi,Delhi,Regular,2024-07-30,B010
C00029,Customer 00029,Female,28,96900.0,Business,Udaipur,Rajasthan,Mass Affluent,2021-06-17,B043
C00030,Customer 00030,Female,53,42400.0,Self-Employed,Warangal,Telangana,Standard,2022-10-17,B040
C00031,Customer 00031,Female,48,81800.0,Salaried,Kanpur,Uttar Pradesh,Mass Affluent,2023-07-31,B008
C00032,Customer 00032,Female,41,61600.0,Professional,Warangal,Telangana,Regular,2025-05-27,B042
C00033,Customer 00033,Female,32,32600.0,Retired,Madurai,Tamil Nadu,Standard,2022-11-02,B053
C00034,Customer 00034,Female,34,52400.0,Self-Employed,Nashik,Maharashtra,Regular,2021-04-18,B028
C00035,Customer 00035,Male,38,16500.0,Salaried,New Delhi,Delhi,Standard,2022-04-01,B057
C00036,Customer 00036,Female,26,36500.0,Salaried,Bengaluru,Karnataka,Standard,2024-05-30,B033
C00037,Customer 00037,Female,47,23100.0,Salaried,Mangaluru,Karnataka,Standard,2021-12-10,B017
C00038,Customer 00038,Male,52,165000.0,Business,Kochi,Kerala,Premium,2025-08-29,B013
C00039,Customer 00039,Female,57,23200.0,Professional,Vadodara,Gujarat,Standard,2023-10-23,B039
C00040,Customer 00040,Female,34,228000.0,Salaried,Kanpur,Uttar Pradesh,Premium,2021-02-01,B019
C00041,Customer 00041,Female,53,73000.0,Salaried,Hyderabad,Telangana,Regular,2024-06-27,B046
C00042,Customer 00042,Male,54,41300.0,Self-Employed,Udaipur,Rajasthan,Standard,2022-03-08,B039
C00043,Customer 00043,Female,31,85700.0,Salaried,Chennai,Tamil Nadu,Mass Affluent,2023-04-03,B053
C00044,Customer 00044,Male,27,38600.0,Student,Madurai,Tamil Nadu,Standard,2024-01-26,B049
C00045,Customer 00045,Female,50,25300.0,Business,Madurai,Tamil Nadu,Standard,2025-06-11,B015
C00046,Customer 00046,Female,32,57400.0,Self-Employed,Mysuru,Karnataka,Regular,2022-05-24,B059
C00047,Customer 00047,Female,30,80800.0,Salaried,Kolkata,West Bengal,Mass Affluent,2021-04-03,B037
C00048,Customer 00048,Other,47,111100.0,Professional,Bengaluru,Karnataka,Mass Affluent,2024-04-12,B011
C00049,Customer 00049,Male,23,72300.0,Self-Employed,Nashik,Maharashtra,Regular,2024-08-04,B033
C00050,Customer 00050,Female,33,41100.0,Professional,Warangal,Telangana,Standard,2023-03-24,B012
C00051,Customer 00051,Female,18,117900.0,Salaried,Nagpur,Maharashtra,Mass Affluent,2021-02-18,B016
C00052,Customer 00052,Male,29,104300.0,Salaried,Kochi,Kerala,Mass Affluent,2024-02-10,B001
C00053,Customer 00053,Female,31,63800.0,Business,Thiruvananthapuram,Kerala,Regular,2024-05-29,B022
C00054,Customer 00054,Male,30,107000.0,Self-Employed,Lucknow,Uttar Pradesh,Mass Affluent,2024-07-15,B017
C00055,Customer 00055,Male,33,182900.0,Salaried,Delhi,Delhi,Premium,2025-07-13,B058
C00056,Customer 00056,Female,18,40800.0,Salaried,Pune,Maharashtra,Standard,2024-06-23,B048
C00057,Customer 00057,Female,27,33500.0,Salaried,Lucknow,Uttar Pradesh,Standard,2022-07-04,B047
C00058,Customer 00058,Male,53,40100.0,Professional,Surat,Gujarat,Standard,2022-01-21,B054
C00059,Customer 00059,Male,41,26200.0,Salaried,Kochi,Kerala,Standard,2024-05-07,B019
C00060,Customer 00060,Male,32,76100.0,Self-Employed,Kochi,Kerala,Regular,2023-03-19,B055
C00061,Customer 00061,Female,31,22700.0,Salaried,Lucknow,Uttar Pradesh,Standard,2021-03-03,B002
C00062,Customer 00062,Male,46,110300.0,Professional,Mangaluru,Karnataka,Mass Affluent,2024-03-05,B016
C00063,Customer 00063,Female,39,38000.0,Salaried,Ahmedabad,Gujarat,Standard,2024-11-27,B039
C00064,Customer 00064,Female,26,116100.0,Salaried,Kanpur,Uttar Pradesh,Mass Affluent,2022-12-03,B021
C00065,Customer 00065,Male,32,15000.0,Salaried,New Delhi,Delhi,Standard,2024-04-20,B045
C00066,Customer 00066,Male,24,44500.0,Salaried,Pune,Maharashtra,Standard,2022-05-17,B001
C00067,Customer 00067,Female,30,27000.0,Self-Employed,Madurai,Tamil Nadu,Standard,2023-08-27,B023
C00068,Customer 00068,Male,46,115800.0,Salaried,Thiruvananthapuram,Kerala,Mass Affluent,2021-01-15,B042
C00069,Customer 00069,Male,44,138500.0,Retired,Kolkata,West Bengal,Premium,2025-12-22,B023
C00070,Customer 00070,Female,49,15200.0,Self-Employed,Chennai,Tamil Nadu,Standard,2021-07-11,B010
C00071,Customer 00071,Male,40,88500.0,Salaried,Nashik,Maharashtra,Mass Affluent,2024-11-20,B020
C00072,Customer 00072,Male,21,99000.0,Self-Employed,Hyderabad,Telangana,Mass Affluent,2022-08-02,B012
C00073,Customer 00073,Male,24,65800.0,Student,Kochi,Kerala,Regular,2021-07-22,B031
C00074,Customer 00074,Male,43,76000.0,Student,Nagpur,Maharashtra,Regular,2024-01-17,B041
C00075,Customer 00075,Female,39,73100.0,Retired,Chennai,Tamil Nadu,Regular,2021-09-22,B055
C00076,Customer 00076,Male,25,88700.0,Student,Noida,Uttar Pradesh,Mass Affluent,2023-11-11,B056
C00077,Customer 00077,Female,34,30200.0,Salaried,Jaipur,Rajasthan,Standard,2024-12-10,B014
C00078,Customer 00078,Female,59,106400.0,Salaried,Kolkata,West Bengal,Mass Affluent,2021-07-31,B006
C00079,Customer 00079,Male,48,61700.0,Business,Kolkata,West Bengal,Regular,2022-09-06,B037
C00080,Customer 00080,Male,54,59700.0,Business,New Delhi,Delhi,Regular,2022-09-12,B044
C00081,Customer 00081,Female,25,75100.0,Salaried,Bengaluru,Karnataka,Regular,2024-07-19,B026
C00082,Customer 00082,Female,56,27300.0,Salaried,Jaipur,Rajasthan,Standard,2024-08-23,B015
C00083,Customer 00083,Male,32,23400.0,Retired,Lucknow,Uttar Pradesh,Standard,2024-10-03,B002
C00084,Customer 00084,Female,55,51500.0,Retired,Lucknow,Uttar Pradesh,Regular,2024-09-27,B001
C00085,Customer 00085,Female,42,128500.0,Salaried,Noida,Uttar Pradesh,Premium,2024-06-27,B023
C00086,Customer 00086,Female,45,28700.0,Salaried,Chennai,Tamil Nadu,Standard,2021-10-26,B003
C00087,Customer 00087,Male,46,60600.0,Student,Chennai,Tamil Nadu,Regular,2022-04-16,B003
C00088,Customer 00088,Female,39,37100.0,Self-Employed,Jaipur,Rajasthan,Standard,2025-12-30,B029
C00089,Customer 00089,Male,44,34400.0,Professional,Hyderabad,Telangana,Standard,2022-10-09,B022
C00090,Customer 00090,Male,27,72400.0,Salaried,Kolkata,West Bengal,Regular,2024-07-15,B014
C00091,Customer 00091,Male,37,83500.0,Business,Udaipur,Rajasthan,Mass Affluent,2021-10-02,B057
C00092,Customer 00092,Female,47,35700.0,Salaried,Noida,Uttar Pradesh,Standard,2023-03-26,B012
C00093,Customer 00093,Female,39,118000.0,Student,Delhi,Delhi,Mass Affluent,2023-01-27,B016
C00094,Customer 00094,Female,34,69400.0,Salaried,Delhi,Delhi,Regular,2022-01-09,B045
C00095,Customer 00095,Female,41,48200.0,Self-Employed,Nashik,Maharashtra,Regular,2021-03-05,B032
C00096,Customer 00096,Male,23,66600.0,Self-Employed,Coimbatore,Tamil Nadu,Regular,2025-04-10,B004
C00097,Customer 00097,Female,50,168600.0,Business,Nashik,Maharashtra,Premium,2024-05-29,B006
C00098,Customer 00098,Male,18,83200.0,Salaried,Ahmedabad,Gujarat,Mass Affluent,2022-12-12,B057
C00099,Customer 00099,Male,38,37500.0,Business,Coimbatore,Tamil Nadu,Standard,2025-09-19,B037
C00100,Customer 00100,Female,46,54400.0,Salaried,Bengaluru,Karnataka,Regular,2025-08-11,B038
C00101,Customer 00101,Female,39,59100.0,Student,Hyderabad,Telangana,Regular,2023-08-07,B022
C00102,Customer 00102,Male,33,79300.0,Salaried,Pune,Maharashtra,Regular,2025-02-11,B039
C00103,Customer 00103,Male,50,62700.0,Professional,Pune,Maharashtra,Regular,2025-08-28,B053
C00104,Customer 00104,Other,30,156000.0,Business,Noida,Uttar Pradesh,Premium,2021-08-22,B020
C00105,Customer 00105,Female,57,48600.0,Salaried,New Delhi,Delhi,Regular,2022-07-04,B008
C00106,Customer 00106,Male,36,21200.0,Salaried,Mumbai,Maharashtra,Standard,2025-11-25,B027
C00107,Customer 00107,Female,35,61900.0,Retired,Madurai,Tamil Nadu,Regular,2021-04-10,B024
C00108,Customer 00108,Female,46,43200.0,Salaried,Jaipur,Rajasthan,Standard,2022-09-06,B027
C00109,Customer 00109,Female,35,24000.0,Business,Mysuru,Karnataka,Standard,2024-10-11,B020
C00110,Customer 00110,Female,39,37400.0,Salaried,Warangal,Telangana,Standard,2024-11-29,B042
C00111,Customer 00111,Male,44,45200.0,Student,Mumbai,Maharashtra,Regular,2023-12-24,B010
C00112,Customer 00112,Female,25,102900.0,Professional,Pune,Maharashtra,Mass Affluent,2022-08-19,B053
C00113,Customer 00113,Male,45,24300.0,Retired,Coimbatore,Tamil Nadu,Standard,2023-05-23,B020
C00114,Customer 00114,Male,19,66700.0,Student,Coimbatore,Tamil Nadu,Regular,2022-07-13,B011
C00115,Customer 00115,Male,38,186500.0,Self-Employed,Warangal,Telangana,Premium,2023-05-19,B001
C00116,Customer 00116,Female,34,50000.0,Salaried,Durgapur,West Bengal,Regular,2024-10-08,B050
C00117,Customer 00117,Male,24,49200.0,Salaried,Kochi,Kerala,Regular,2025-06-18,B025
C00118,Customer 00118,Female,57,81700.0,Salaried,Chennai,Tamil Nadu,Mass Affluent,2022-05-15,B043
C00119,Customer 00119,Male,40,73300.0,Salaried,Delhi,Delhi,Regular,2021-07-29,B012
C00120,Customer 00120,Male,31,119900.0,Self-Employed,Jaipur,Rajasthan,Mass Affluent,2022-03-10,B010
C00121,Customer 00121,Female,40,50200.0,Student,Mysuru,Karnataka,Regular,2025-07-21,B017
C00122,Customer 00122,Female,65,80900.0,Salaried,Vadodara,Gujarat,Mass Affluent,2025-03-18,B006
C00123,Customer 00123,Male,27,81600.0,Salaried,Nagpur,Maharashtra,Mass Affluent,2025-02-24,B014
C00124,Customer 00124,Male,45,45700.0,Self-Employed,Nagpur,Maharashtra,Regular,2023-08-28,B018
C00125,Customer 00125,Female,28,51700.0,Student,Kochi,Kerala,Regular,2025-05-04,B035
C00126,Customer 00126,Male,43,54700.0,Salaried,Noida,Uttar Pradesh,Regular,2022-03-20,B026
C00127,Customer 00127,Female,31,27800.0,Salaried,Kolkata,West Bengal,Standard,2021-09-22,B007
C00128,Customer 00128,Male,36,44400.0,Salaried,Vadodara,Gujarat,Standard,2023-11-12,B042
C00129,Customer 00129,Female,40,125200.0,Salaried,Pune,Maharashtra,Premium,2024-07-26,B060
C00130,Customer 00130,Male,53,97300.0,Business,Nashik,Maharashtra,Mass Affluent,2021-02-23,B012
C00131,Customer 00131,Male,22,40000.0,Business,Bengaluru,Karnataka,Standard,2025-09-12,B008
C00132,Customer 00132,Male,57,54500.0,Professional,Coimbatore,Tamil Nadu,Regular,2021-02-11,B013
C00133,Customer 00133,Male,18,93800.0,Student,Durgapur,West Bengal,Mass Affluent,2024-04-16,B024
C00134,Customer 00134,Female,42,70200.0,Student,Kolkata,West Bengal,Regular,2021-07-16,B056
C00135,Customer 00135,Female,39,85400.0,Self-Employed,Mysuru,Karnataka,Mass Affluent,2025-07-05,B031
C00136,Customer 00136,Female,37,73800.0,Salaried,Kochi,Kerala,Regular,2023-10-01,B004
C00137,Customer 00137,Female,38,61900.0,Salaried,Jaipur,Rajasthan,Regular,2024-07-11,B014
C00138,Customer 00138,Female,44,50200.0,Self-Employed,Coimbatore,Tamil Nadu,Regular,2022-07-05,B055
C00139,Customer 00139,Male,43,28500.0,Student,Hyderabad,Telangana,Standard,2022-10-01,B040
C00140,Customer 00140,Male,36,80500.0,Self-Employed,Vadodara,Gujarat,Mass Affluent,2024-07-26,B003
C00141,Customer 00141,Female,46,48700.0,Retired,Mangaluru,Karnataka,Regular,2025-01-24,B037
C00142,Customer 00142,Female,35,22200.0,Salaried,Delhi,Delhi,Standard,2025-05-12,B001
C00143,Customer 00143,Female,39,40700.0,Salaried,Jaipur,Rajasthan,Standard,2023-12-02,B031
C00144,Customer 00144,Male,51,87900.0,Professional,Mumbai,Maharashtra,Mass Affluent,2023-05-27,B029
C00145,Customer 00145,Male,51,19200.0,Student,Mumbai,Maharashtra,Standard,2025-12-15,B012
C00146,Customer 00146,Female,50,31200.0,Self-Employed,Nagpur,Maharashtra,Standard,2023-12-10,B005
C00147,Customer 00147,Male,27,59300.0,Salaried,Nashik,Maharashtra,Regular,2022-08-25,B013
C00148,Customer 00148,Female,43,119200.0,Salaried,Kanpur,Uttar Pradesh,Mass Affluent,2025-06-04,B007
C00149,Customer 00149,Female,43,95300.0,Salaried,Kolkata,West Bengal,Mass Affluent,2023-08-15,B058
C00150,Customer 00150,Female,57,125600.0,Self-Employed,Vadodara,Gujarat,Premium,2021-06-15,B055
C00151,Customer 00151,Male,47,61700.0,Salaried,Nashik,Maharashtra,Regular,2025-04-28,B022
C00152,Customer 00152,Female,31,49000.0,Self-Employed,Coimbatore,Tamil Nadu,Regular,2024-04-16,B042
C00153,Customer 00153,Female,34,87500.0,Self-Employed,Vadodara,Gujarat,Mass Affluent,2025-07-14,B050
C00154,Customer 00154,Female,18,33500.0,Self-Employed,Nashik,Maharashtra,Standard,2023-08-27,B056
C00155,Customer 00155,Female,37,32100.0,Business,Ahmedabad,Gujarat,Standard,2025-04-23,B037
C00156,Customer 00156,Male,34,29100.0,Business,Ahmedabad,Gujarat,Standard,2023-02-13,B044
C00157,Customer 00157,Female,32,100100.0,Salaried,Warangal,Telangana,Mass Affluent,2023-02-12,B011
C00158,Customer 00158,Male,29,34800.0,Salaried,Warangal,Telangana,Standard,2025-01-21,B019
C00159,Customer 00159,Female,55,95400.0,Salaried,Pune,Maharashtra,Mass Affluent,2024-09-11,B009
C00160,Customer 00160,Female,18,59700.0,Salaried,Delhi,Delhi,Regular,2025-07-31,B056
C00161,Customer 00161,Female,24,100800.0,Salaried,Warangal,Telangana,Mass Affluent,2024-12-16,B011
C00162,Customer 00162,Female,64,29900.0,Salaried,Chennai,Tamil Nadu,Standard,2025-12-29,B044
C00163,Customer 00163,Female,49,39000.0,Salaried,Noida,Uttar Pradesh,Standard,2023-07-01,B059
C00164,Customer 00164,Female,41,70600.0,Business,Warangal,Telangana,Regular,2024-01-10,B007
C00165,Customer 00165,Male,38,43400.0,Retired,Mumbai,Maharashtra,Standard,2024-01-25,B032
C00166,Customer 00166,Male,32,15000.0,Student,Mumbai,Maharashtra,Standard,2022-02-20,B021
C00167,Customer 00167,Male,24,25900.0,Professional,Hyderabad,Telangana,Standard,2025-07-26,B007
C00168,Customer 00168,Female,42,29800.0,Business,Pune,Maharashtra,Standard,2024-04-21,B029
C00169,Customer 00169,Female,47,31100.0,Retired,Hyderabad,Telangana,Standard,2025-08-03,B024
C00170,Customer 00170,Female,30,80000.0,Professional,Thiruvananthapuram,Kerala,Mass Affluent,2023-03-30,B042
C00171,Customer 00171,Male,18,66200.0,Self-Employed,Madurai,Tamil Nadu,Regular,2024-07-02,B024
C00172,Customer 00172,Male,45,60100.0,Self-Employed,Surat,Gujarat,Regular,2021-10-11,B040
C00173,Customer 00173,Male,47,166000.0,Salaried,Warangal,Telangana,Premium,2023-02-04,B057
C00174,Customer 00174,Female,47,105000.0,Salaried,Vadodara,Gujarat,Mass Affluent,2022-01-25,B027
C00175,Customer 00175,Female,36,85500.0,Salaried,Coimbatore,Tamil Nadu,Mass Affluent,2025-12-01,B045
C00176,Customer 00176,Female,18,24200.0,Salaried,Kochi,Kerala,Standard,2021-09-13,B006
C00177,Customer 00177,Female,25,56800.0,Business,Vadodara,Gujarat,Regular,2022-09-21,B007
C00178,Customer 00178,Female,52,64800.0,Professional,Thiruvananthapuram,Kerala,Regular,2023-05-29,B027
C00179,Customer 00179,Female,23,43800.0,Retired,Kanpur,Uttar Pradesh,Standard,2021-10-12,B010
C00180,Customer 00180,Female,46,140600.0,Salaried,Mysuru,Karnataka,Premium,2024-09-01,B041
C00181,Customer 00181,Female,27,56600.0,Retired,Pune,Maharashtra,Regular,2023-09-09,B058
C00182,Customer 00182,Female,26,28000.0,Professional,Mumbai,Maharashtra,Standard,2025-01-09,B003
C00183,Customer 00183,Male,58,31800.0,Salaried,Pune,Maharashtra,Standard,2022-01-15,B022
C00184,Customer 00184,Female,58,193000.0,Self-Employed,Pune,Maharashtra,Premium,2024-08-22,B011
C00185,Customer 00185,Female,40,43700.0,Salaried,Kolkata,West Bengal,Standard,2025-01-11,B031
C00186,Customer 00186,Male,33,17500.0,Salaried,Nagpur,Maharashtra,Standard,2023-03-25,B042
C00187,Customer 00187,Male,49,39600.0,Self-Employed,Delhi,Delhi,Standard,2025-02-27,B046
C00188,Customer 00188,Female,21,20100.0,Self-Employed,Noida,Uttar Pradesh,Standard,2024-04-13,B004
C00189,Customer 00189,Male,51,91100.0,Salaried,Pune,Maharashtra,Mass Affluent,2023-10-24,B002
C00190,Customer 00190,Female,60,18800.0,Retired,Noida,Uttar Pradesh,Standard,2022-05-12,B021
C00191,Customer 00191,Female,44,25400.0,Business,Bengaluru,Karnataka,Standard,2022-04-19,B047
C00192,Customer 00192,Female,25,55100.0,Salaried,Mumbai,Maharashtra,Regular,2022-10-14,B052
C00193,Customer 00193,Female,55,101200.0,Business,Durgapur,West Bengal,Mass Affluent,2024-07-03,B036
C00194,Customer 00194,Male,41,52900.0,Self-Employed,Hyderabad,Telangana,Regular,2022-10-13,B024
C00195,Customer 00195,Female,36,27500.0,Self-Employed,Noida,Uttar Pradesh,Standard,2025-10-06,B003
C00196,Customer 00196,Female,27,60800.0,Professional,Jaipur,Rajasthan,Regular,2023-05-20,B055
C00197,Customer 00197,Male,25,42500.0,Salaried,Jaipur,Rajasthan,Standard,2021-01-26,B046
C00198,Customer 00198,Female,51,102500.0,Self-Employed,Bengaluru,Karnataka,Mass Affluent,2025-09-17,B031
C00199,Customer 00199,Male,37,88000.0,Professional,Mumbai,Maharashtra,Mass Affluent,2024-10-22,B010
C00200,Customer 00200,Female,37,40900.0,Business,Jaipur,Rajasthan,Standard,2024-01-12,B010
C00201,Customer 00201,Female,39,84500.0,Salaried,Jaipur,Rajasthan,Mass Affluent,2022-08-15,B037
C00202,Customer 00202,Female,18,63800.0,Professional,Thiruvananthapuram,Kerala,Regular,2025-03-16,B011
C00203,Customer 00203,Male,38,116600.0,Retired,Vadodara,Gujarat,Mass Affluent,2021-03-01,B013
C00204,Customer 00204,Male,38,82500.0,Business,Delhi,Delhi,Mass Affluent,2023-06-20,B020
C00205,Customer 00205,Female,54,74300.0,Student,Jaipur,Rajasthan,Regular,2025-09-24,B046
C00206,Customer 00206,Female,47,114200.0,Salaried,New Delhi,Delhi,Mass Affluent,2025-08-28,B059
C00207,Customer 00207,Male,25,55500.0,Salaried,Kochi,Kerala,Regular,2025-11-16,B035
C00208,Customer 00208,Male,34,35900.0,Salaried,Kanpur,Uttar Pradesh,Standard,2021-05-17,B027
C00209,Customer 00209,Male,50,61400.0,Business,Ahmedabad,Gujarat,Regular,2024-03-28,B058
C00210,Customer 00210,Male,24,45200.0,Retired,Udaipur,Rajasthan,Regular,2025-11-24,B003
C00211,Customer 00211,Male,57,76700.0,Student,Jaipur,Rajasthan,Regular,2023-02-04,B023
C00212,Customer 00212,Female,38,56900.0,Salaried,Pune,Maharashtra,Regular,2023-08-20,B021
C00213,Customer 00213,Male,44,68600.0,Business,Noida,Uttar Pradesh,Regular,2022-04-15,B031
C00214,Customer 00214,Male,33,28400.0,Retired,Coimbatore,Tamil Nadu,Standard,2024-09-29,B045
C00215,Customer 00215,Male,33,72700.0,Salaried,Noida,Uttar Pradesh,Regular,2022-11-13,B021
C00216,Customer 00216,Female,28,27100.0,Business,Delhi,Delhi,Standard,2025-06-04,B060
C00217,Customer 00217,Male,55,93300.0,Student,Noida,Uttar Pradesh,Mass Affluent,2022-02-08,B044
C00218,Customer 00218,Male,45,93400.0,Student,Vadodara,Gujarat,Mass Affluent,2021-03-18,B055
C00219,Customer 00219,Male,27,66600.0,Salaried,Nashik,Maharashtra,Regular,2024-08-18,B008
C00220,Customer 00220,Male,46,65200.0,Salaried,Noida,Uttar Pradesh,Regular,2025-09-23,B028
C00221,Customer 00221,Male,48,48600.0,Business,Mumbai,Maharashtra,Regular,2023-02-24,B022
C00222,Customer 00222,Male,50,39500.0,Retired,New Delhi,Delhi,Standard,2022-10-23,B026
C00223,Customer 00223,Female,41,54500.0,Self-Employed,Thiruvananthapuram,Kerala,Regular,2025-04-05,B047
C00224,Customer 00224,Female,40,163700.0,Self-Employed,Thiruvananthapuram,Kerala,Premium,2023-03-29,B046
C00225,Customer 00225,Male,28,62400.0,Student,Coimbatore,Tamil Nadu,Regular,2024-09-28,B008
C00226,Customer 00226,Male,53,26200.0,Salaried,Hyderabad,Telangana,Standard,2022-10-18,B031
C00227,Customer 00227,Female,45,21500.0,Business,Vadodara,Gujarat,Standard,2023-06-12,B003
C00228,Customer 00228,Male,49,24900.0,Salaried,Mangaluru,Karnataka,Standard,2024-05-23,B055
C00229,Customer 00229,Female,18,44700.0,Salaried,Delhi,Delhi,Standard,2025-03-27,B018
C00230,Customer 00230,Female,49,110300.0,Salaried,Kolkata,West Bengal,Mass Affluent,2025-01-14,B012
C00231,Customer 00231,Male,38,31300.0,Salaried,Udaipur,Rajasthan,Standard,2025-01-05,B058
C00232,Customer 00232,Male,47,120200.0,Student,Jaipur,Rajasthan,Premium,2023-01-21,B039
C00233,Customer 00233,Male,25,60700.0,Salaried,Jaipur,Rajasthan,Regular,2023-10-20,B031
C00234,Customer 00234,Male,58,71800.0,Salaried,Pune,Maharashtra,Regular,2024-03-15,B040
C00235,Customer 00235,Female,31,70700.0,Self-Employed,Madurai,Tamil Nadu,Regular,2021-12-31,B035
C00236,Customer 00236,Female,51,76100.0,Self-Employed,Mumbai,Maharashtra,Regular,2025-10-21,B045
C00237,Customer 00237,Male,36,43900.0,Self-Employed,Coimbatore,Tamil Nadu,Standard,2022-03-09,B037
C00238,Customer 00238,Male,58,15200.0,Self-Employed,Surat,Gujarat,Standard,2025-11-20,B048
C00239,Customer 00239,Female,41,39800.0,Salaried,Kanpur,Uttar Pradesh,Standard,2021-06-04,B020
C00240,Customer 00240,Male,59,33800.0,Salaried,Delhi,Delhi,Standard,2025-08-17,B018
C00241,Customer 00241,Male,37,65200.0,Salaried,Pune,Maharashtra,Regular,2025-02-08,B029
C00242,Customer 00242,Male,26,62000.0,Retired,Pune,Maharashtra,Regular,2021-04-18,B018
C00243,Customer 00243,Male,41,47300.0,Self-Employed,Jaipur,Rajasthan,Regular,2023-05-15,B037
C00244,Customer 00244,Female,37,144400.0,Salaried,Warangal,Telangana,Premium,2022-07-24,B010
C00245,Customer 00245,Female,31,38700.0,Salaried,Mumbai,Maharashtra,Standard,2024-01-30,B005
C00246,Customer 00246,Male,52,16200.0,Business,Mumbai,Maharashtra,Standard,2021-03-24,B034
C00247,Customer 00247,Male,23,58700.0,Salaried,Durgapur,West Bengal,Regular,2024-07-12,B040
C00248,Customer 00248,Female,59,105800.0,Professional,Pune,Maharashtra,Mass Affluent,2023-10-29,B033
C00249,Customer 00249,Male,36,64400.0,Salaried,Noida,Uttar Pradesh,Regular,2023-05-10,B019
C00250,Customer 00250,Male,23,45200.0,Salaried,Kolkata,West Bengal,Regular,2022-06-20,B050
C00251,Customer 00251,Female,42,62800.0,Retired,Mumbai,Maharashtra,Regular,2024-05-21,B047
C00252,Customer 00252,Male,40,151200.0,Salaried,Pune,Maharashtra,Premium,2025-04-30,B014
C00253,Customer 00253,Female,36,34000.0,Business,Thiruvananthapuram,Kerala,Standard,2025-09-20,B026
C00254,Customer 00254,Female,31,55900.0,Salaried,New Delhi,Delhi,Regular,2022-06-06,B006
C00255,Customer 00255,Male,52,79500.0,Self-Employed,New Delhi,Delhi,Regular,2023-06-07,B039
C00256,Customer 00256,Female,44,63200.0,Salaried,Noida,Uttar Pradesh,Regular,2023-02-19,B022
C00257,Customer 00257,Female,33,48000.0,Salaried,Thiruvananthapuram,Kerala,Regular,2021-11-11,B004
C00258,Customer 00258,Male,42,43500.0,Salaried,Kochi,Kerala,Standard,2023-04-30,B034
C00259,Customer 00259,Male,29,47000.0,Professional,Udaipur,Rajasthan,Regular,2024-02-25,B048
C00260,Customer 00260,Male,49,73700.0,Retired,Delhi,Delhi,Regular,2021-04-14,B058
